network_id,is_mule,merchant_count,t1_nodes,t1_edges,t1_volume,t1_refund_rate,t2_nodes,t2_edges,t2_volume,t2_refund_rate,t3_nodes,t3_edges,t3_volume,t3_refund_rate,delta_nodes_t1_t2,delta_edges_t1_t2,delta_volume_t1_t2,delta_refund_t1_t2,delta_nodes_t2_t3,delta_edges_t2_t3,delta_volume_t2_t3,delta_refund_t2_t3
B012,False,3,3,0,166535.27000000002,0.058823529411764705,3,1,106796.34,0.09523809523809523,3,0,101901.56,0.037037037037037035,0,1,-59738.93000000002,0.03641456582633053,0,-1,-4894.779999999999,-0.0582010582010582
B013,False,4,4,1,229121.33999999997,0.0,4,1,162714.0,0.0,4,0,219313.32,0.0,0,0,-66407.33999999997,0.0,0,-1,56599.32000000001,0.0
B014,False,6,6,3,175118.41999999998,0.030303030303030304,6,6,326911.11999999994,0.019417475728155338,6,7,178340.48,0.0,0,3,151792.69999999995,-0.010885554574874966,0,1,-148570.63999999993,-0.019417475728155338
B015,False,4,4,4,87399.48000000001,0.04,4,0,152780.95999999996,0.08108108108108109,4,1,190350.25999999998,0.10344827586206896,0,-4,65381.47999999995,0.041081081081081085,0,1,37569.30000000002,0.02236719478098788
B016,False,11,11,30,285643.85,0.0375,8,8,218759.3,0.04,10,17,312001.45999999996,0.0,-3,-22,-66884.54999999999,0.0025000000000000022,2,9,93242.15999999997,-0.04
B017,False,4,4,0,434317.81,0.010309278350515464,4,1,693426.2399999999,0.0,4,4,459910.35,0.0,0,1,259108.42999999988,-0.010309278350515464,0,3,-233515.8899999999,0.0
B018,False,3,3,3,103960.37,0.038461538461538464,3,0,196195.33,0.03,3,1,86085.48000000001,0.14102564102564102,0,-3,92234.95999999999,-0.008461538461538465,0,1,-110109.84999999998,0.11102564102564103
B019,False,4,4,3,120351.98000000001,0.0,4,4,236846.47,0.017241379310344827,4,2,228553.38,0.03773584905660377,0,1,116494.48999999999,0.017241379310344827,0,-2,-8293.089999999997,0.020494469746258945
B020,False,3,2,0,54084.08,0.0,3,3,102171.54000000002,0.15,1,0,63665.67,0.0,1,3,48087.46000000002,0.15,-2,-3,-38505.870000000024,-0.15
B021,False,3,3,3,146379.89,0.025,3,2,119189.94,0.0625,3,0,140125.09,0.12987012987012986,0,-1,-27189.95000000001,0.0375,0,-2,20935.149999999994,0.06737012987012986
B022,False,5,5,6,153471.18000000002,0.058823529411764705,5,6,90250.39999999998,0.06382978723404255,4,3,95193.91,0.01818181818181818,0,0,-63220.78000000004,0.005006257822277843,-1,-3,4943.510000000024,-0.04564796905222437
B023,False,3,3,0,108546.45999999999,0.0,3,1,108822.04,0.012987012987012988,1,0,69684.75000000001,0.0,0,1,275.58000000000175,0.012987012987012988,-2,-1,-39137.28999999998,-0.012987012987012988
B024,False,4,4,0,117566.12,0.022727272727272728,4,1,62864.08,0.03125,4,1,181362.27,0.0,0,1,-54702.03999999999,0.008522727272727272,0,0,118498.18999999999,-0.03125
B025,False,4,4,1,73973.81,0.0625,2,0,129735.60999999999,0.04,4,3,59736.200000000004,0.0,-2,-1,55761.79999999999,-0.0225,2,3,-69999.40999999997,-0.04
B026,False,3,3,3,534329.82,0.03896103896103896,3,1,450370.13,0.012987012987012988,3,0,554569.3200000001,0.0125,0,-2,-83959.68999999994,-0.025974025974025972,0,-1,104199.19000000006,-0.0004870129870129872
B027,False,6,5,3,24727.539999999997,0.0,5,0,12351.76,0.14285714285714285,4,6,16171.41,0.2222222222222222,0,-3,-12375.779999999997,0.14285714285714285,-1,6,3819.6499999999996,0.07936507936507936
B028,False,3,3,1,33551.65,0.0,3,0,32724.59,0.0,2,0,8710.2,0.0,0,-1,-827.0600000000013,0.0,-1,0,-24014.39,0.0
B029,False,3,2,0,84985.98000000001,0.0,2,1,63308.84,0.04,3,1,44271.76,0.029411764705882353,0,1,-21677.140000000014,0.04,1,0,-19037.079999999994,-0.010588235294117648
B030,False,3,3,0,25153.070000000003,0.0,3,0,17713.489999999998,0.0,3,0,17688.929999999997,0.0,0,0,-7439.580000000005,0.0,0,0,-24.56000000000131,0.0
B031,False,3,3,1,39668.88,0.0,3,0,30668.63,0.0,3,1,35242.990000000005,0.0,0,-1,-9000.249999999996,0.0,0,1,4574.360000000004,0.0
B032,False,5,5,2,193934.58,0.05747126436781609,5,1,170263.84,0.03529411764705882,5,3,168381.63999999998,0.13636363636363635,0,-1,-23670.73999999999,-0.022177146720757268,0,2,-1882.2000000000116,0.10106951871657753
B033,False,6,6,1,169469.57,0.07142857142857142,6,6,185082.94,0.05,5,10,109510.81999999998,0.021739130434782608,0,5,15613.369999999995,-0.021428571428571422,-1,4,-75572.12000000002,-0.028260869565217395
B034,False,3,3,1,115410.15,0.02857142857142857,3,0,46505.01,0.043478260869565216,3,0,116104.2,0.029411764705882353,0,-1,-68905.13999999998,0.014906832298136646,0,0,69599.19,-0.014066496163682864
B035,False,6,6,6,202450.18000000002,0.049019607843137254,6,1,139676.45,0.024390243902439025,5,2,180301.02,0.010638297872340425,0,-5,-62773.73000000001,-0.02462936394069823,-1,1,40624.56999999998,-0.0137519460300986
B036,False,5,5,3,92435.66,0.043478260869565216,5,1,111248.77000000002,0.04938271604938271,4,0,69195.58,0.015873015873015872,0,-2,18813.110000000015,0.005904455179817497,-1,-1,-42053.19000000002,-0.03350970017636684
B037,False,4,4,4,112650.62000000001,0.01818181818181818,4,1,121577.79000000001,0.029850746268656716,4,4,196491.22000000003,0.03389830508474576,0,-3,8927.169999999998,0.011668928086838535,0,3,74913.43000000002,0.004047558816089047
B038,False,4,4,1,131025.31,0.06060606060606061,4,0,87553.79999999999,0.045454545454545456,3,3,72793.27,0.0,0,-1,-43471.51000000001,-0.015151515151515152,-1,3,-14760.529999999984,-0.045454545454545456
B039,False,3,3,1,35461.53,0.0,3,0,46988.979999999996,0.04,3,1,25043.59,0.07142857142857142,0,-1,11527.449999999997,0.04,0,1,-21945.389999999996,0.031428571428571424
B040,False,3,2,1,23110.68,0.12121212121212122,2,0,16824.04,0.07692307692307693,3,1,21346.949999999997,0.06896551724137931,0,-1,-6286.639999999999,-0.04428904428904429,1,1,4522.909999999996,-0.007957559681697618
B041,False,8,8,16,223977.21000000002,0.038461538461538464,8,5,292653.18,0.05625,8,4,325531.05,0.0684931506849315,0,-11,68675.96999999997,0.017788461538461538,0,-1,32877.869999999995,0.012243150684931502
B042,False,3,3,0,118096.7,0.07575757575757576,3,1,135151.69000000003,0.011494252873563218,3,0,160155.46,0.039473684210526314,0,1,17054.990000000034,-0.06426332288401254,0,-1,25003.76999999996,0.027979431336963095
B043,False,4,4,2,250698.23,0.04285714285714286,4,0,130707.97,0.03571428571428571,4,3,368698.55,0.0,0,-2,-119990.26000000001,-0.007142857142857145,0,3,237990.58,-0.03571428571428571
B044,False,4,4,0,204251.7,0.05154639175257732,4,2,147863.56,0.02197802197802198,4,4,217451.11000000002,0.010869565217391304,0,2,-56388.140000000014,-0.029568369774555337,0,2,69587.55000000002,-0.011108456760630676
B045,False,3,3,0,62108.079999999994,0.022222222222222223,3,3,61343.56999999999,0.0,3,0,32818.32,0.037037037037037035,0,3,-764.510000000002,-0.022222222222222223,0,-3,-28525.249999999993,0.037037037037037035
B046,False,8,8,12,422033.63999999996,0.09523809523809523,8,4,415221.78,0.08,8,11,368400.57999999996,0.06593406593406594,0,-8,-6811.859999999928,-0.015238095238095231,0,7,-46821.20000000007,-0.014065934065934066
B047,False,3,2,0,90670.35,0.014925373134328358,3,3,143744.71000000002,0.06741573033707865,3,0,132587.91,0.10843373493975904,1,3,53074.360000000015,0.05249035720275029,0,-3,-11156.800000000017,0.04101800460268039
B048,False,5,5,1,209253.84999999998,0.05194805194805195,5,6,285662.9,0.0,5,3,148529.94000000003,0.01282051282051282,0,5,76409.05000000005,-0.05194805194805195,0,-3,-137132.96,0.01282051282051282
B049,False,6,6,7,139771.68,0.041237113402061855,6,7,150296.04,0.0,6,6,122241.67000000001,0.02666666666666667,0,0,10524.360000000015,-0.041237113402061855,0,-1,-28054.369999999995,0.02666666666666667
B050,False,8,8,5,159202.34,0.05405405405405406,8,10,74637.02999999998,0.08450704225352113,7,3,138536.46000000002,0.15584415584415584,0,5,-84565.31000000001,0.030452988199467068,-1,-7,63899.43000000004,0.07133711359063472
B051,False,4,4,3,30571.640000000003,0.0,4,0,16745.449999999997,0.0,2,0,7812.16,0.0,0,-3,-13826.190000000006,0.0,-2,0,-8933.289999999997,0.0
B052,False,5,5,1,97314.17000000001,0.0,5,3,191419.36,0.0625,5,6,178640.15000000002,0.05405405405405406,0,2,94105.18999999997,0.0625,0,3,-12779.209999999963,-0.008445945945945943
B053,False,4,4,1,94216.80999999998,0.047619047619047616,4,1,88536.04000000001,0.03225806451612903,4,4,173633.78,0.02857142857142857,0,0,-5680.769999999975,-0.015360983102918585,0,3,85097.73999999999,-0.003686635944700461
B054,False,5,5,1,98776.5,0.025,5,4,131584.0,0.058823529411764705,4,3,110112.36,0.1111111111111111,0,3,32807.5,0.033823529411764704,-1,-1,-21471.64,0.0522875816993464
B055,False,6,5,3,190492.19,0.06666666666666667,6,0,122180.29000000001,0.0,6,11,270009.64,0.031746031746031744,1,-3,-68311.9,-0.06666666666666667,0,11,147829.35,0.031746031746031744
B056,False,3,3,3,104874.85,0.0,3,1,46518.26,0.0,2,0,23882.98,0.14285714285714285,0,-2,-58356.590000000004,0.0,-1,-1,-22635.280000000002,0.14285714285714285
B057,False,5,5,3,178098.37000000002,0.057692307692307696,5,1,139982.25999999998,0.0,5,6,262765.16000000003,0.0,0,-2,-38116.110000000044,-0.057692307692307696,0,5,122782.90000000005,0.0
B058,False,5,5,1,202287.04000000004,0.04,5,3,292770.97,0.03125,4,2,170234.04,0.02912621359223301,0,2,90483.92999999993,-0.00875,-1,-1,-122536.92999999996,-0.0021237864077669893
B059,False,5,4,1,249879.46000000002,0.030303030303030304,4,3,304412.6,0.0,5,6,209801.01999999996,0.09090909090909091,0,2,54533.139999999956,-0.030303030303030304,1,3,-94611.58000000002,0.09090909090909091
B060,False,3,3,0,101335.24,0.0,3,0,108513.31999999999,0.012345679012345678,3,1,80195.99000000002,0.0,0,0,7178.079999999987,0.012345679012345678,0,1,-28317.329999999973,-0.012345679012345678
B061,False,5,5,0,88529.13999999998,0.03225806451612903,5,3,162075.73,0.0,5,6,185592.63,0.07142857142857142,0,3,73546.59000000003,-0.03225806451612903,0,3,23516.899999999994,0.07142857142857142
B062,False,4,4,0,20606.969999999998,0.0,4,1,31728.12,0.0,4,0,20878.739999999998,0.0,0,1,11121.150000000001,0.0,0,-1,-10849.380000000001,0.0
B063,False,7,7,10,641009.8800000001,0.0425531914893617,7,15,643096.4100000001,0.02197802197802198,7,11,611210.53,0.0,0,5,2086.530000000028,-0.02057516951133972,0,-4,-31885.88000000012,-0.02197802197802198
B064,False,3,3,3,59567.93,0.14814814814814814,2,1,126474.84000000001,0.07692307692307693,3,0,148510.97999999998,0.0625,-1,-2,66906.91,-0.07122507122507121,1,-1,22036.13999999997,-0.014423076923076927
B065,False,5,5,4,250453.87999999998,0.02127659574468085,5,2,408221.29,0.0,5,4,228973.53000000003,0.057971014492753624,0,-2,157767.41,-0.02127659574468085,0,2,-179247.75999999995,0.057971014492753624
B066,False,4,3,3,41773.770000000004,0.0,4,3,28241.940000000002,0.0,4,0,15339.68,0.0,1,0,-13531.830000000002,0.0,0,-3,-12902.260000000002,0.0
B067,False,5,5,3,129495.37999999999,0.08064516129032258,5,3,127832.99,0.034482758620689655,5,4,84164.87,0.058823529411764705,0,0,-1662.3899999999849,-0.046162402669632924,0,1,-43668.12000000001,0.02434077079107505
B068,False,6,6,3,169815.79999999996,0.047619047619047616,6,6,176238.13,0.0,6,3,107366.66,0.01639344262295082,0,3,6422.330000000045,-0.047619047619047616,0,-3,-68871.47,0.01639344262295082
B069,False,5,5,1,153027.96,0.03508771929824561,5,6,153172.06999999998,0.02,5,1,153434.31000000003,0.019230769230769232,0,5,144.10999999998603,-0.015087719298245612,0,-5,262.2400000000489,-0.0007692307692307686
B070,False,3,3,3,90973.24,0.058823529411764705,2,1,66051.79,0.07407407407407407,3,0,95698.70000000001,0.03333333333333333,-1,-2,-24921.45000000001,0.015250544662309365,1,-1,29646.910000000018,-0.04074074074074074
B071,False,4,4,1,71072.61,0.030303030303030304,4,0,132955.61000000002,0.0851063829787234,4,6,105547.02999999998,0.0,0,-1,61883.000000000015,0.0548033526756931,0,6,-27408.58000000003,-0.0851063829787234
B072,False,7,7,13,179090.66,0.025210084033613446,6,5,188984.65999999997,0.06818181818181818,7,4,160973.10999999996,0.10344827586206896,-1,-8,9893.99999999997,0.04297173414820473,1,-1,-28011.550000000017,0.03526645768025079
B073,False,5,4,4,475683.33,0.015384615384615385,5,4,646202.21,0.036231884057971016,5,4,567706.52,0.06716417910447761,1,0,170518.87999999995,0.02084726867335563,0,0,-78495.68999999994,0.030932295046506596
B074,False,4,4,1,103212.25000000001,0.014285714285714285,3,2,80643.24999999999,0.07792207792207792,3,0,76314.36,0.12857142857142856,-1,1,-22569.00000000003,0.06363636363636363,0,-2,-4328.889999999985,0.05064935064935064
B075,False,3,3,1,251108.22000000003,0.04285714285714286,3,1,170535.02,0.057971014492753624,3,2,171989.32,0.043478260869565216,0,0,-80573.20000000004,0.015113871635610766,0,1,1454.3000000000175,-0.014492753623188408
B076,False,3,3,3,73369.84000000001,0.0,3,0,79639.11999999998,0.0,3,0,60092.34,0.0,0,-3,6269.27999999997,0.0,0,0,-19546.779999999984,0.0
B077,False,5,5,2,149972.91,0.02857142857142857,5,3,172045.4,0.03125,4,1,110814.12999999999,0.0,0,1,22072.48999999999,0.0026785714285714295,-1,-2,-61231.270000000004,-0.03125
B078,False,4,4,1,73702.20999999998,0.015873015873015872,3,0,38292.55,0.020833333333333332,4,3,77339.01,0.030303030303030304,-1,-1,-35409.659999999974,0.00496031746031746,1,3,39046.45999999999,0.009469696969696972
B079,False,3,3,0,125103.49,0.0,2,0,149902.08,0.0,3,3,145556.79,0.0,-1,0,24798.589999999982,0.0,1,3,-4345.289999999979,0.0
B080,False,3,3,1,54053.21,0.02702702702702703,3,3,46297.42,0.027777777777777776,3,3,31063.88,0.03333333333333333,0,2,-7755.790000000001,0.0007507507507507477,0,0,-15233.539999999997,0.005555555555555557
B081,False,3,3,1,47171.71,0.04878048780487805,2,1,77798.43000000001,0.058823529411764705,3,2,80988.34000000001,0.22,-1,0,30626.72000000001,0.010043041606886655,1,1,3189.9100000000035,0.1611764705882353
B082,False,4,4,0,400215.72000000003,0.0,4,4,561415.35,0.036585365853658534,4,1,420237.19,0.0,0,4,161199.62999999995,0.036585365853658534,0,-3,-141178.15999999997,-0.036585365853658534
B083,False,3,3,0,117047.98,0.0,3,1,119879.13999999998,0.011494252873563218,3,0,80285.49,0.0,0,1,2831.159999999989,0.011494252873563218,0,-1,-39593.64999999998,-0.011494252873563218
B084,False,3,2,0,25166.199999999997,0.0,2,0,3494.4,0.0,2,1,12654.48,0.0,0,0,-21671.799999999996,0.0,0,1,9160.08,0.0
B085,False,4,4,2,402479.3,0.0,4,2,562240.7499999999,0.011494252873563218,4,3,442559.23,0.0,0,0,159761.4499999999,0.011494252873563218,0,1,-119681.5199999999,-0.011494252873563218
B086,False,3,3,3,117769.67000000001,0.01818181818181818,3,1,137445.71999999997,0.0,3,1,93651.58,0.022727272727272728,0,-2,19676.04999999996,-0.01818181818181818,0,0,-43794.13999999997,0.022727272727272728
B087,False,9,8,1,100675.37999999999,0.044444444444444446,8,10,138839.03000000003,0.0,9,28,126588.84999999999,0.0425531914893617,0,9,38163.65000000004,-0.044444444444444446,1,18,-12250.180000000037,0.0425531914893617
B088,False,3,3,1,143076.01,0.02702702702702703,3,1,242139.05,0.08571428571428572,3,0,180512.85,0.15789473684210525,0,0,99063.03999999998,0.05868725868725869,0,-1,-61626.19999999998,0.07218045112781954
B089,False,6,6,3,622674.4600000001,0.07692307692307693,6,3,809349.59,0.03968253968253968,6,4,595474.5599999999,0.04716981132075472,0,0,186675.1299999999,-0.03724053724053725,0,1,-213875.03000000003,0.00748727163821504
B090,False,3,3,1,98655.43,0.0,3,0,109314.67,0.023809523809523808,3,0,73595.9,0.0,0,-1,10659.240000000005,0.023809523809523808,0,0,-35718.770000000004,-0.023809523809523808
B091,False,4,3,1,178906.48000000004,0.0,4,1,142865.24,0.020833333333333332,3,0,180154.66,0.0,1,0,-36041.24000000005,0.020833333333333332,-1,-1,37289.42000000001,-0.020833333333333332
B092,False,6,6,3,51133.03999999999,0.0,6,3,58587.61,0.05555555555555555,6,1,64001.78999999999,0.0,0,0,7454.570000000007,0.05555555555555555,0,-2,5414.179999999993,-0.05555555555555555
B093,False,4,4,4,52479.89,0.0,4,3,80387.35,0.0,4,1,79234.94,0.024390243902439025,0,-1,27907.460000000006,0.0,0,-2,-1152.4100000000035,0.024390243902439025
B094,False,4,3,1,45244.02,0.07142857142857142,4,1,59066.61000000001,0.0,4,1,99368.67,0.0,1,0,13822.590000000011,-0.07142857142857142,0,0,40302.05999999999,0.0
B095,False,8,8,6,160304.43999999997,0.034482758620689655,8,2,139824.89999999997,0.04918032786885246,7,6,160596.53999999998,0.09090909090909091,0,-4,-20479.540000000008,0.014697569248162803,-1,4,20771.640000000014,0.041728763040238454
B096,False,4,3,0,10127.65,0.0,4,3,24743.589999999997,0.0,3,0,9559.93,0.09090909090909091,1,3,14615.939999999997,0.0,-1,-3,-15183.659999999996,0.09090909090909091
B097,False,5,5,4,202238.12000000002,0.05555555555555555,5,4,370417.46,0.0,5,4,141694.6,0.0,0,0,168179.34,-0.05555555555555555,0,0,-228722.86000000002,0.0
B098,False,4,4,3,50413.380000000005,0.0,4,3,52119.31,0.0,4,3,65059.90999999999,0.0,0,0,1705.929999999993,0.0,0,0,12940.599999999991,0.0
B099,False,4,4,2,138624.16000000003,0.04819277108433735,3,0,127080.84999999999,0.024096385542168676,4,2,106749.18,0.0375,-1,-2,-11543.310000000041,-0.024096385542168676,1,2,-20331.67,0.013403614457831323
B100,False,4,4,1,193763.99000000002,0.0,4,0,134952.21,0.02564102564102564,4,4,166071.91999999998,0.0,0,-1,-58811.78000000003,0.02564102564102564,0,4,31119.709999999992,-0.02564102564102564
B101,False,4,4,3,228251.90999999997,0.023529411764705882,4,1,221239.28,0.02857142857142857,4,1,220590.14,0.0,0,-2,-7012.629999999976,0.0050420168067226885,0,0,-649.1399999999849,-0.02857142857142857
B102,False,5,3,0,74050.88,0.023255813953488372,5,3,47563.09,0.0,4,1,57180.759999999995,0.030303030303030304,2,3,-26487.790000000008,-0.023255813953488372,-1,-2,9617.669999999998,0.030303030303030304
B103,False,3,3,2,167770.85,0.01818181818181818,3,2,144291.20000000004,0.0,3,0,166161.94000000003,0.02127659574468085,0,0,-23479.649999999965,-0.01818181818181818,0,-2,21870.73999999999,0.02127659574468085
B104,False,3,2,0,80587.81,0.024390243902439025,3,1,72501.97,0.0,3,1,73842.94,0.03125,1,1,-8085.8399999999965,-0.024390243902439025,0,0,1340.9700000000012,0.03125
B105,False,4,4,3,181451.14000000004,0.07042253521126761,4,0,132002.81,0.029850746268656716,3,0,183613.74,0.02857142857142857,0,-3,-49448.330000000045,-0.04057178894261089,-1,0,51610.92999999999,-0.0012793176972281453
B106,False,5,5,3,85147.41,0.04081632653061224,5,2,55113.07000000001,0.05555555555555555,5,1,95275.64,0.030303030303030304,0,-1,-30034.339999999997,0.01473922902494331,0,-1,40162.56999999999,-0.02525252525252525
B107,False,5,4,3,154046.02000000002,0.0,5,3,176441.16,0.09090909090909091,5,0,128401.32,0.0,1,0,22395.139999999985,0.09090909090909091,0,-3,-48039.84,-0.09090909090909091
B108,False,3,3,3,27976.12,0.0,3,0,22062.79,0.05555555555555555,3,1,45165.5,0.041666666666666664,0,-3,-5913.329999999998,0.05555555555555555,0,1,23102.71,-0.013888888888888888
B109,False,4,4,2,105572.48000000001,0.13043478260869565,3,1,75813.57999999999,0.0,4,2,76356.02,0.0,-1,-1,-29758.900000000023,-0.13043478260869565,1,1,542.4400000000169,0.0
B110,False,5,5,4,618333.3000000002,0.023255813953488372,5,1,412157.07000000007,0.013333333333333334,4,0,520609.93000000005,0.0,0,-3,-206176.2300000001,-0.009922480620155038,-1,-1,108452.85999999999,-0.013333333333333334
B111,False,5,5,1,66430.2,0.0,5,1,160326.11000000004,0.0,5,3,53159.409999999996,0.05555555555555555,0,0,93895.91000000005,0.0,0,2,-107166.70000000004,0.05555555555555555
B112,False,3,3,0,86390.8,0.04,3,3,74641.06999999999,0.15789473684210525,3,0,58734.52,0.0,0,3,-11749.73000000001,0.11789473684210525,0,-3,-15906.549999999996,-0.15789473684210525
B113,False,6,6,5,117836.90000000001,0.0,6,6,108516.06999999999,0.05660377358490566,6,3,146314.5,0.0,0,1,-9320.830000000016,0.05660377358490566,0,-3,37798.43000000001,-0.05660377358490566
B114,False,7,7,12,138057.05000000002,0.014285714285714285,7,4,225388.24,0.038461538461538464,7,13,289233.29999999993,0.010752688172043012,0,-8,87331.18999999997,0.02417582417582418,0,9,63845.05999999994,-0.027708850289495452
B115,False,3,3,3,61608.530000000006,0.0,3,0,22949.76,0.05,3,0,34702.049999999996,0.0,0,-3,-38658.770000000004,0.05,0,0,11752.289999999997,-0.05
B116,False,3,3,3,96778.85999999999,0.05555555555555555,3,1,86401.67000000001,0.05454545454545454,3,3,77569.21,0.0,0,-2,-10377.189999999973,-0.0010101010101010097,0,2,-8832.460000000006,-0.05454545454545454
B117,False,3,3,1,70699.87000000001,0.0,3,0,90961.82,0.06666666666666667,2,1,72852.33,0.0,0,-1,20261.949999999997,0.06666666666666667,-1,1,-18109.490000000005,-0.06666666666666667
B118,False,4,4,3,144923.43,0.0,4,6,196837.08000000002,0.025,4,0,63787.490000000005,0.045454545454545456,0,3,51913.65000000002,0.025,0,-6,-133049.59000000003,0.020454545454545454
B119,False,7,7,12,230846.85000000003,0.03225806451612903,7,5,287051.26,0.017699115044247787,7,7,220993.93,0.02,0,-7,56204.409999999974,-0.014558949471881244,0,2,-66057.33000000002,0.002300884955752213
B120,False,3,3,1,53053.24,0.058823529411764705,3,0,16671.01,0.0,3,0,39987.49,0.0,0,-1,-36382.229999999996,-0.058823529411764705,0,0,23316.48,0.0
B121,False,3,3,0,131113.64,0.023255813953488372,3,0,79173.06,0.0,3,0,107200.19000000002,0.03225806451612903,0,0,-51940.580000000016,-0.023255813953488372,0,0,28027.13000000002,0.03225806451612903
B122,False,6,6,4,811395.4099999999,0.09090909090909091,6,3,651361.52,0.048484848484848485,5,2,651813.75,0.05128205128205128,0,-1,-160033.8899999999,-0.04242424242424243,-1,-1,452.2299999999814,0.0027972027972027955
B123,False,5,5,5,76239.45999999999,0.05263157894736842,5,0,82142.42,0.0,5,2,107477.3,0.0,0,-5,5902.960000000006,-0.05263157894736842,0,2,25334.880000000005,0.0
B124,False,6,5,4,238034.09999999998,0.011904761904761904,6,10,310034.41000000003,0.028846153846153848,6,4,158236.15000000002,0.0,1,6,72000.31000000006,0.016941391941391944,0,-6,-151798.26,-0.028846153846153848
