merchant_id,volume_delta_t1_t2,refund_delta_t1_t2,network_growth_t1_t2,device_churn_t1_t2,ip_churn_t1_t2,volume_delta_t2_t3,refund_delta_t2_t3,network_growth_t2_t3,device_churn_t2_t3,ip_churn_t2_t3,volume_static_t3,refund_rate_static_t3,network_size_static_t3
M00049,430.15999999999997,0.0,0,0.0,0.0,-645.93,0.0,0,0.0,0.0,59.13,0.0,1
M00050,86.34,0.0,0,0.0,0.0,83.82,0.3333333333333333,0,0.0,0.0,170.16,0.3333333333333333,1
M00051,-105.45999999999998,0.0,0,0.0,0.0,-55.829999999999984,0.0,0,0.5,0.0,261.54,0.0,0
M00052,-5854.0,-0.06827564306128929,0,0.0,0.0,4145.719999999999,0.038424896792632585,0,0.0,0.0,8385.15,0.05970149253731343,0
M00053,72.49,0.0,0,0.0,0.0,-59.85999999999999,0.0,0,0.0,0.0,12.63,0.0,1
M00054,269.87,0.0,-2,0.0,0.5,-577.87,0.0,-3,0.0,0.0,332.75,0.0,24
M00055,-56.379999999999995,0.0,-1,0.0,0.0,396.06,0.0,0,0.0,0.0,412.39,0.0,0
M00056,0.0,0.0,0,0.0,0.0,28.0,1.0,0,1.0,1.0,28.0,1.0,0
M00057,1369.07,0.0,0,0.0,0.0,-566.22,0.0,-1,0.0,0.0,1196.34,0.0,1
M00058,-91.13999999999999,0.0,0,0.0,0.0,191.48000000000002,0.0,0,0.0,0.0,574.35,0.0,1
M00059,475.57000000000016,-0.16666666666666666,26,0.0,0.5,-272.22000000000014,0.0,-6,0.5,0.5,999.17,0.0,20
M00060,985.2400000000001,0.06666666666666667,0,0.0,0.0,507.72,-0.02318840579710145,0,0.0,0.0,2094.36,0.043478260869565216,2
M00061,1162.06,0.1,0,1.0,1.0,-505.75,-0.1,0,0.0,0.0,656.31,0.0,0
M00062,265.76,-0.3333333333333333,0,0.0,0.0,900.9099999999999,0.1,1,0.0,0.0,1359.35,0.1,4
M00063,-141.17000000000002,0.0,0,0.0,0.0,91.89999999999999,0.0,-1,1.0,0.0,128.79,0.0,1
M00064,-756.62,0.0,1,0.0,0.0,1059.44,0.07692307692307693,0,0.0,0.0,1814.85,0.07692307692307693,1
M00065,104.57,0.0,0,0.0,0.0,-121.84999999999997,0.0,0,0.0,0.0,245.13,0.0,0
M00066,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2
M00067,2359.92,0.0,0,0.5,0.0,-2618.17,0.14285714285714285,1,0.0,0.0,687.0799999999999,0.14285714285714285,1
M00068,-1194.6000000000001,-0.037037037037037035,0,0.0,0.0,-499.45000000000005,0.05555555555555555,0,0.0,0.0,1312.33,0.05555555555555555,1
M00069,1356.0300000000002,-0.17892156862745098,0,0.5,0.0,-99.61000000000013,0.031194295900178255,0,0.0,0.0,3995.33,0.06060606060606061,1
M00070,-392.52000000000044,-0.03308823529411765,17,0.5,0.5,2651.0999999999995,0.046537602382725245,-3,0.5,0.5,9512.21,0.0759493670886076,15
M00071,284.59000000000015,0.06666666666666667,0,0.0,0.0,-123.6400000000001,-0.06666666666666667,0,0.0,0.0,1219.3,0.0,2
M00072,-38.09999999999991,0.08333333333333333,0,0.0,0.0,31.980000000000018,-0.08333333333333333,0,0.0,0.0,913.45,0.0,1
M00073,1980.3500000000001,0.0,0,1.0,1.0,1499.22,0.125,0,0.5,0.0,3479.57,0.125,0
M00074,107.10000000000002,-0.3333333333333333,0,0.0,0.0,-61.25,0.0,0,0.0,0.0,312.97,0.0,1
M00075,0.0,0.0,0,0.0,0.0,140.88,0.0,1,1.0,1.0,140.88,0.0,1
M00076,489.06000000000006,-0.5,1,0.5,0.0,-550.1600000000001,0.0,0,0.5,0.0,10.67,0.0,2
M00077,2194.1,0.045454545454545456,0,1.0,1.0,2376.4100000000003,0.052106430155210645,0,0.0,0.0,4570.51,0.0975609756097561,0
M00078,-279.95,1.0,0,0.0,0.0,301.24999999999994,-1.0,1,0.0,0.0,330.79999999999995,0.0,3
M00079,-401.70000000000005,0.0,1,0.0,0.0,-440.3400000000001,0.0,0,0.0,0.0,364.58,0.0,2
M00080,891.8600000000001,-0.03208556149732621,0,0.5,0.0,-1609.39,-0.058823529411764705,0,0.0,0.0,853.1800000000001,0.0,1
M00081,-338.66999999999996,0.0,0,0.0,0.0,-99.49000000000001,0.3333333333333333,0,0.0,0.0,217.75,0.3333333333333333,0
M00082,45.76,0.0,0,1.0,1.0,536.48,0.0,0,0.0,0.0,582.24,0.0,0
M00083,32.450000000000045,0.0,0,0.0,0.0,918.2,0.0,0,0.0,0.0,1745.96,0.0,1
M00084,111.25999999999999,0.0,0,0.0,0.0,-185.14999999999998,0.0,0,0.5,0.0,132.38,0.0,3
M00085,370.03999999999996,0.06451612903225806,-1,0.5,0.0,745.4399999999996,-0.06451612903225806,0,0.0,0.0,4413.65,0.0,1
M00086,653.3000000000002,0.02857142857142858,0,0.0,0.0,247.53999999999996,-0.05238095238095239,0,0.0,0.0,2007.43,0.047619047619047616,0
M00087,-297.27,0.0,0,0.0,0.0,198.06,0.5,0,0.0,0.0,198.06,0.5,1
M00088,-765.9400000000005,0.09090909090909091,0,0.0,0.0,83.30000000000018,-0.09090909090909091,0,0.0,0.0,5032.62,0.0,1
M00089,17.109999999999957,0.0,0,0.5,0.0,180.31,0.0,0,0.5,0.0,640.63,0.0,0
M00090,-17.41,0.0,0,0.0,0.0,574.5600000000001,0.0,0,0.0,0.0,574.5600000000001,0.0,2
M00091,-177.65000000000003,0.25,0,0.0,0.0,309.71,-0.25,0,0.0,0.0,530.54,0.0,2
M00092,-121.05999999999995,0.006912442396313362,0,0.0,0.0,1940.29,-0.07142857142857142,0,0.0,0.0,4676.29,0.0,0
M00093,198.68,0.0,0,0.0,0.0,-143.05,0.0,0,0.0,0.0,55.63,0.0,0
M00094,-484.21,0.0,0,0.0,0.0,462.2,0.125,0,0.0,0.0,627.62,0.125,1
M00095,-276.24,0.0,0,0.0,0.0,0.0,0.0,0,0.5,0.0,0.0,0.0,1
M00096,-93.4,0.0,1,0.5,0.0,-160.73,0.0,0,0.5,0.0,0.0,0.0,1
M00097,82.86,0.0,6,0.5,0.5,-14.019999999999996,0.0,-1,0.5,0.5,68.84,0.0,6
M00098,290.83,0.0,-1,0.0,0.0,-227.76999999999998,0.0,0,0.0,0.0,63.06,0.0,1
M00099,131.90999999999997,-0.2,0,0.0,0.0,-115.33000000000004,0.0,0,0.0,0.0,449.53999999999996,0.0,2
M00100,4771.96,0.044444444444444446,0,1.0,1.0,965.71,-0.026262626262626265,1,0.0,0.0,5737.67,0.01818181818181818,1
M00101,-413.3299999999999,0.0,0,0.0,0.0,492.64,0.0,0,0.0,0.0,630.5,0.0,0
M00102,0.0,0.0,0,0.0,0.0,4811.88,0.046511627906976744,1,1.0,1.0,4811.88,0.046511627906976744,1
M00103,1734.3699999999997,0.0,0,0.0,0.0,-1516.6699999999996,0.0,0,0.0,0.0,1281.15,0.0,1
M00104,0.0,0.0,0,0.0,0.0,65.23,0.0,0,0.0,0.0,65.23,0.0,2
M00105,-93.69000000000003,0.5,0,0.0,0.0,-192.79,-0.5,-1,0.0,0.0,0.0,0.0,2
M00106,-617.28,0.03968253968253968,0,0.0,0.0,-10.649999999999977,-0.1111111111111111,0,0.0,0.0,890.11,0.0,0
M00107,65.82999999999998,0.0,0,0.0,0.0,-8.849999999999966,0.0,0,0.0,0.0,238.04000000000002,0.0,0
M00108,948.42,0.0,2,0.5,0.0,-293.03,0.0,-2,0.5,0.0,1292.18,0.0,2
M00109,5410.08,-0.01336898395721925,5,0.6666666666666666,0.5,-2607.63,0.0010570824524312877,-1,0.6666666666666666,0.5,4597.89,0.046511627906976744,5
M00110,183.51,0.5,0,0.0,0.0,-183.51,-0.5,0,0.0,0.0,0.0,0.0,1
M00111,-130.10000000000002,0.0,-2,0.5,0.5,1116.8899999999999,0.5,-3,0.0,0.0,1192.4399999999998,0.5,18
M00112,453.90999999999997,0.0,17,0.0,0.5,153.14999999999998,0.0,-2,0.0,0.5,682.77,0.0,16
M00113,249.19000000000005,0.0,0,0.0,0.0,-550.84,0.0,0,0.0,0.0,0.0,0.0,0
M00114,116.95,0.0,7,0.6666666666666666,0.6666666666666666,365.93,0.0,-29,0.5,0.5,482.88,0.0,6
M00115,-191.32,1.0,-1,0.5,0.0,243.3,-1.0,0,0.0,0.0,336.12,0.0,1
M00116,136.54999999999998,0.0,0,0.0,0.0,-205.26999999999998,0.25,0,0.0,0.0,123.89,0.25,0
M00117,538.48,0.25,1,1.0,1.0,221.97000000000003,-0.25,0,0.0,0.0,760.45,0.0,1
M00118,27.960000000000036,-0.10526315789473684,0,0.5,0.0,-363.51,0.08333333333333333,0,0.5,0.0,1393.77,0.08333333333333333,0
M00119,318.17,0.2,-1,0.0,0.0,246.06999999999994,0.3,1,0.5,0.0,939.3199999999999,0.5,2
M00120,-444.68000000000006,-0.09523809523809523,-1,0.0,0.5,-450.8800000000001,0.0,-3,0.0,0.0,1271.97,0.0,24
M00121,669.5,-1.0,-1,0.5,0.0,-632.35,0.0,0,0.0,0.0,64.73,0.0,2
M00122,-186.48,0.0,0,0.0,0.0,447.71999999999997,0.0,0,0.0,0.0,495.59,0.0,1
M00123,68.07999999999993,0.0,0,0.0,0.0,-188.38,0.0,0,0.0,0.0,436.03999999999996,0.0,1
M00124,-1154.44,0.04166666666666667,0,0.0,0.0,-51.569999999999936,-0.125,0,0.0,0.0,658.59,0.0,1
M00125,36.42000000000007,-0.07692307692307693,0,0.0,0.0,-314.26,0.0,0,0.5,0.0,919.96,0.0,0
M00126,1476.83,-0.019393939393939394,0,0.0,0.0,-568.5099999999998,0.04653679653679653,1,0.5,0.0,3010.32,0.10714285714285714,1
M00127,-310.48,-0.2,2,0.0,0.0,490.28,0.2,0,0.5,0.0,675.3199999999999,0.2,3
M00128,0.0,0.0,0,0.0,0.0,3153.33,0.0,2,1.0,1.0,3153.33,0.0,2
M00129,-840.2,0.043478260869565216,0,0.0,0.0,1039.57,0.11652173913043479,0,0.0,0.0,2773.77,0.16,1
M00130,0.0,0.0,0,0.0,0.0,316.47,0.0,0,1.0,1.0,316.47,0.0,0
M00131,584.97,0.0,1,1.0,1.0,9.67999999999995,0.0,0,0.5,0.0,594.65,0.0,1
M00132,3333.6900000000005,-0.05550254452926209,0,0.0,0.0,-4666.17,0.0543546365914787,0,0.0,0.0,12409.28,0.07518796992481203,0
M00133,1397.11,0.07142857142857142,0,0.0,0.0,42.8900000000001,0.011904761904761904,0,0.5,0.0,1485.95,0.08333333333333333,2
M00134,1136.5,-0.25,1,0.5,0.0,-19.75,0.0,-1,0.5,0.0,1445.33,0.0,1
M00135,553.8100000000002,-0.01904761904761905,0,0.0,0.0,-355.5,-0.047619047619047616,0,0.0,0.0,1819.67,0.0,0
M00136,119.0,0.0,0,1.0,1.0,46.33000000000001,0.3333333333333333,1,0.5,0.0,165.33,0.3333333333333333,1
M00137,1052.88,0.0,0,0.0,0.0,-841.8300000000002,0.5,0,0.0,0.0,211.05,0.5,0
M00138,262.01,0.0,0,0.0,0.0,-262.7,0.0,0,0.0,0.0,48.51,0.0,0
M00139,-914.9100000000001,-0.09090909090909091,0,0.0,0.0,-231.45999999999998,0.16666666666666666,0,0.0,0.0,447.8,0.16666666666666666,0
M00140,-23.899999999999977,-0.3333333333333333,0,0.0,0.0,-689.96,0.0,0,0.0,0.0,174.18,0.0,1
M00141,384.4900000000001,0.14285714285714285,0,0.0,0.5,-304.7800000000001,-0.14285714285714285,-2,0.0,0.0,395.87,0.0,26
M00142,959.1600000000001,0.0,1,1.0,1.0,538.96,0.0,0,0.0,0.0,1498.1200000000001,0.0,1
M00143,-140.98,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
M00144,370.07000000000016,0.05263157894736842,1,0.0,0.0,-910.5200000000002,0.04736842105263159,1,0.5,0.0,1372.22,0.1,4
M00145,0.0,0.0,1,1.0,1.0,32.85,0.0,0,1.0,0.0,32.85,0.0,1
M00146,-398.16999999999996,0.0,0,0.5,0.0,250.88,0.0,0,0.0,0.0,250.88,0.0,0
M00147,157.84,0.0,0,0.5,0.0,28.829999999999984,0.0,2,0.0,0.0,186.67,0.0,3
M00148,0.0,0.0,0,0.0,0.0,152.18,0.0,0,0.0,0.0,152.18,0.0,1
M00149,44.86000000000013,0.2857142857142857,0,0.5,0.0,-169.58000000000004,-0.2857142857142857,0,0.0,0.0,578.86,0.0,1
M00150,-159.66000000000003,0.2,0,0.0,0.0,5315.179999999999,-0.12307692307692308,4,0.5,0.5,5591.19,0.07692307692307693,4
M00151,453.90999999999997,0.0,0,0.0,0.0,-399.16999999999996,0.0,1,0.0,0.0,54.74,0.0,1
M00152,106.69,0.0,0,0.0,0.0,577.05,0.0,0,0.0,0.0,736.51,0.0,1
M00153,399.64,0.0,0,0.0,0.0,-288.34,0.0,1,0.5,0.0,111.3,0.0,1
M00154,638.0500000000001,0.0,0,0.0,0.0,-410.85,0.0,0,0.0,0.0,416.6,0.0,0
M00155,74.61999999999998,0.0,0,0.0,0.0,734.28,0.0,0,0.0,0.0,985.5,0.0,0
M00156,52.63000000000011,0.0,0,0.0,0.5,687.5899999999999,-0.04090909090909091,-2,0.0,0.0,2071.31,0.05,26
M00157,0.0,0.0,0,0.0,0.0,291.44,0.0,0,0.5,0.0,291.44,0.0,0
M00158,47.879999999999995,0.0,0,0.0,0.0,582.1300000000001,0.15384615384615385,0,0.0,0.0,1231.18,0.15384615384615385,0
M00159,-64.84,0.0,0,0.0,0.0,36.23,0.0,0,0.0,0.0,36.23,0.0,1
M00160,0.0,0.0,0,0.0,0.0,111.15,0.0,0,0.0,0.0,111.15,0.0,0
M00161,-8.769999999999982,0.2,0,0.5,0.0,344.36,-0.0888888888888889,0,0.5,0.0,987.1,0.1111111111111111,0
M00162,0.0,0.0,0,0.0,0.0,3813.92,0.0975609756097561,0,1.0,1.0,3813.92,0.0975609756097561,0
M00163,196.65000000000003,0.0,8,0.0,0.5,21.829999999999984,0.0,0,0.0,0.5,356.94,0.0,8
M00164,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1
M00165,-57.66,0.0,0,0.0,0.0,248.43,0.0,0,0.0,0.0,296.74,0.0,0
M00166,91.69999999999999,-0.25,0,0.5,0.0,-183.95,0.0,0,0.0,0.0,280.16,0.0,1
M00167,-528.6,0.3,17,0.0,0.5,114.60000000000002,-0.175,-2,0.0,0.5,750.76,0.125,16
M00168,-503.41999999999996,0.1111111111111111,0,0.0,0.0,4675.349999999999,-0.04589371980676328,0,0.0,0.0,5563.69,0.06521739130434782,1
M00169,-508.8800000000001,0.07142857142857142,4,0.5,0.5,-1196.1100000000001,-0.07142857142857142,-1,0.5,0.0,550.62,0.0,7
M00170,456.86,0.25,0,0.0,0.0,-381.96000000000004,-0.25,0,0.0,0.0,276.24,0.0,0
M00171,533.8399999999999,0.07692307692307693,0,0.0,0.0,-1335.71,-0.005494505494505503,0,0.0,0.0,1093.73,0.07142857142857142,0
M00172,0.0,0.0,0,0.0,0.0,401.86,0.3333333333333333,1,1.0,1.0,401.86,0.3333333333333333,1
M00173,5694.35,0.023255813953488372,0,1.0,1.0,150.57999999999993,-0.023255813953488372,0,0.5,0.0,5844.93,0.0,0
M00174,294.39,0.0,0,1.0,1.0,16.400000000000034,0.25,1,1.0,0.0,310.79,0.25,1
M00175,-139.59,0.0,0,0.0,0.0,-33.62,0.0,0,0.0,0.0,0.0,0.0,0
M00176,3431.5499999999997,0.023809523809523808,1,0.0,0.0,-1149.4699999999998,0.03869047619047619,0,0.0,0.0,3285.39,0.0625,3
M00177,-422.39000000000004,-0.25,-1,0.5,0.0,-66.07,0.0,-1,0.0,0.0,0.0,0.0,2
M00178,-116.13999999999999,0.1515151515151515,0,0.0,0.0,-281.2,-0.3333333333333333,1,0.0,0.0,268.57,0.0,1
M00179,0.0,0.0,-1,1.0,0.0,296.21999999999997,0.0,1,0.0,0.0,296.21999999999997,0.0,16
M00180,4133.92,0.30438184663536777,0,0.5,0.0,-973.5100000000002,0.19934640522875818,-1,0.5,0.0,9358.66,0.5882352941176471,0
M00181,4510.15,0.017857142857142856,0,0.0,0.0,-2214.919999999999,0.14123376623376624,0,0.0,0.0,4210.18,0.1590909090909091,0
M00182,2316.1400000000003,0.0522875816993464,0,0.0,0.0,-301.3800000000001,-0.0847953216374269,1,0.5,0.0,3688.62,0.02631578947368421,2
M00183,-262.79999999999995,0.0,0,0.0,0.0,117.00999999999999,0.0,1,0.0,0.0,607.88,0.0,1
M00184,2014.74,0.08695652173913043,0,0.0,0.0,-2189.4300000000003,0.03804347826086957,0,0.0,0.0,611.53,0.125,0
M00185,-93.59999999999997,-0.14285714285714285,0,0.0,0.0,397.49999999999994,0.14285714285714285,0,0.0,0.0,730.28,0.14285714285714285,2
M00186,-62.940000000000055,0.004545454545454547,0,0.5,0.0,116.0,0.04090909090909091,0,0.0,0.0,2188.9,0.09090909090909091,0
M00187,-442.24,0.0,0,0.0,0.0,-184.26,0.2,0,0.0,0.0,331.63,0.2,0
M00188,901.4100000000003,-0.038461538461538464,-1,0.0,0.0,-496.2900000000004,0.0,-1,0.0,0.0,3950.98,0.0,1
M00189,131.52,0.0,0,0.0,0.0,-63.900000000000006,0.5,1,0.0,0.0,67.62,0.5,1
M00190,-40.18000000000001,0.0,1,0.0,0.0,196.39,0.0,0,0.0,0.0,455.2,0.0,2
M00191,-319.1,-0.3333333333333333,0,0.0,0.0,313.78000000000003,0.5,0,0.0,0.0,313.78000000000003,0.5,0
M00192,623.1200000000001,-0.3333333333333333,0,0.0,0.0,88.13999999999999,0.0,0,0.0,0.0,967.1600000000001,0.0,1
M00193,196.30999999999995,0.2,0,0.5,0.0,-120.21999999999997,-0.2,0,0.5,0.0,363.69,0.0,1
M00194,-412.74,0.0,0,0.0,0.0,362.12,0.0,0,0.0,0.0,688.28,0.0,0
M00195,746.84,0.0,2,1.0,1.0,-49.24000000000001,0.0,0,0.0,0.0,697.6,0.0,2
M00196,0.0,0.0,0,0.0,0.0,4757.77,0.046511627906976744,1,1.0,1.0,4757.77,0.046511627906976744,1
M00197,-1360.7599999999998,0.005860805860805861,0,0.0,0.0,293.8299999999999,-0.02773109243697479,0,0.0,0.0,3789.27,0.029411764705882353,0
M00198,229.03,0.0,0,0.0,0.0,394.30000000000007,0.0,0,0.5,0.0,623.33,0.0,1
M00199,-1993.7299999999996,0.005216484089723528,0,0.0,0.0,5978.799999999999,0.0611947547353084,1,0.0,0.0,13407.9,0.10344827586206896,2
M00200,-1282.9299999999998,0.007936507936507936,0,0.0,0.0,1229.9099999999999,-0.013888888888888888,1,0.0,0.0,2882.29,0.041666666666666664,3
M00201,-1387.21,0.014423076923076927,0,0.0,0.0,4232.929999999999,-0.06263736263736264,0,0.0,0.0,9064.05,0.014285714285714285,2
M00202,-330.56,0.0,0,0.5,0.0,301.29,0.0,0,0.0,0.0,580.07,0.0,2
M00203,20.85,0.0,0,0.0,0.0,128.78,0.0,0,0.0,0.0,149.63,0.0,0
M00204,1622.7800000000002,-0.5,-1,0.5,0.5,-1649.3300000000002,0.0,-2,0.0,0.0,71.01,0.0,27
M00205,-909.3199999999999,0.0,0,0.0,0.0,185.56,0.0,-1,0.0,0.0,185.56,0.0,0
M00206,0.0,0.0,2,0.0,0.5,363.26,0.25,1,0.0,0.0,363.26,0.25,3
M00207,0.0,0.0,1,1.0,1.0,26.44,0.0,-1,0.0,0.0,26.44,0.0,0
M00208,-458.40999999999985,-0.05555555555555555,0,0.0,0.0,-204.01,0.06666666666666667,0,0.0,0.0,1307.63,0.06666666666666667,0
M00209,34.48,0.0,0,0.0,0.0,61.07,0.0,6,0.0,0.5,95.55,0.0,6
M00210,-330.44000000000005,0.0,0,0.5,0.0,30.080000000000155,0.0,0,0.0,0.0,1205.67,0.0,0
M00211,2997.29,-0.006720430107526883,2,0.5,0.0,-3896.2999999999993,-0.024717514124293783,-2,0.5,0.0,5641.85,0.01694915254237288,1
M00212,143.19,0.2,17,0.0,0.5,-321.83000000000004,-0.2,-3,0.0,0.5,197.29,0.0,15
M00213,-393.93999999999994,0.0,0,0.0,0.0,-68.83999999999992,0.0,0,0.0,0.0,648.08,0.0,0
M00214,-494.84000000000003,0.0,1,0.5,0.0,224.48000000000002,0.0,0,0.0,0.0,392.73,0.0,2
M00215,1055.6100000000001,0.05555555555555555,0,0.0,0.0,252.0999999999999,-0.05555555555555555,0,0.5,0.0,2194.0,0.0,2
M00216,35.74000000000001,0.5,0,0.0,0.0,-127.9,-0.5,0,0.0,0.0,0.0,0.0,3
M00217,-80.44,-0.3333333333333333,1,0.0,0.0,211.97000000000003,0.0,0,0.5,0.0,618.62,0.0,1
M00218,573.1899999999998,0.0,1,0.0,0.0,1390.65,0.08,0,0.0,0.0,3155.96,0.08,2
M00219,95.92000000000002,0.0,0,0.0,0.5,-381.28,0.0,-3,0.5,0.0,63.72,0.0,18
M00220,0.0,0.0,17,0.0,0.5,0.0,0.0,-2,0.0,0.5,0.0,0.0,17
M00221,563.7799999999997,0.041666666666666664,0,0.0,0.0,-987.02,-0.041666666666666664,1,0.0,0.0,1760.29,0.0,1
M00222,79.23,0.0,0,0.0,0.0,-174.0,0.0,0,0.0,0.0,0.0,0.0,0
M00223,-520.55,-0.16666666666666666,0,0.0,0.0,-226.49999999999994,0.0,0,0.0,0.0,257.97,0.0,5
M00224,118.32000000000005,0.0,0,0.5,0.0,-581.8299999999999,0.125,0,0.0,0.0,464.68,0.125,0
