refund_id,transaction_id,merchant_id,amount,timestamp,reason
R00000051,T00001520,M0444,3752.09,2026-02-03 20:50:29,quality_issue
R00000052,T00001580,M0256,6847.34,2026-01-13 09:10:45,customer_request
R00000053,T00001634,M0154,247.67,2026-01-20 16:07:38,quality_issue
R00000054,T00001649,M0190,975.27,2026-03-06 13:17:56,pricing_error
R00000055,T00001719,M0487,231.11,2026-03-29 03:13:10,customer_request
R00000056,T00001740,M0487,500.06,2026-03-20 22:48:43,merchant_cancelled
R00000057,T00001760,M0263,551.73,2026-02-10 09:14:08,pricing_error
R00000058,T00001861,M0035,312.27,2026-02-01 10:11:19,customer_request
R00000059,T00001880,M0142,186.5,2026-04-07 21:11:42,customer_request
R00000060,T00001936,M0235,1380.04,2026-02-26 09:52:00,duplicate_payment
R00000061,T00001959,M0289,917.94,2026-02-16 17:37:20,merchant_cancelled
R00000062,T00001987,M0340,1687.23,2026-03-07 09:02:52,customer_request
R00000063,T00002001,M0379,161.0,2026-01-24 06:21:36,customer_request
R00000064,T00002053,M0444,6563.54,2026-03-05 04:49:58,customer_request
R00000065,T00002088,M0134,1101.83,2026-01-29 23:26:02,merchant_cancelled
R00000066,T00002105,M0254,755.84,2026-01-11 20:30:38,customer_request
R00000067,T00002139,M0444,3607.34,2026-01-22 02:39:27,customer_request
R00000068,T00002225,M0147,709.8,2026-03-05 01:06:49,quality_issue
R00000069,T00002299,M0365,799.61,2026-01-26 03:22:30,customer_request
R00000070,T00002423,M0444,4619.04,2026-03-07 09:33:02,duplicate_payment
R00000071,T00002455,M0057,548.19,2026-03-26 14:54:32,merchant_cancelled
R00000072,T00002472,M0095,638.66,2026-01-20 17:27:47,pricing_error
R00000073,T00002480,M0204,1283.55,2026-02-16 05:26:02,merchant_cancelled
R00000074,T00002485,M0494,182.31,2026-03-20 01:23:59,merchant_cancelled
R00000075,T00002488,M0380,2525.19,2026-02-12 05:42:11,pricing_error
R00000076,T00002496,M0487,579.15,2026-03-16 08:27:37,pricing_error
R00000077,T00002510,M0303,1563.92,2026-01-24 08:05:00,customer_request
R00000078,T00002543,M0396,177.76,2026-02-09 18:12:49,pricing_error
R00000079,T00002570,M0379,626.68,2026-02-22 22:05:49,quality_issue
R00000080,T00002591,M0379,75.47,2026-03-22 08:41:26,customer_request
R00000081,T00002599,M0376,1103.79,2026-01-31 11:32:17,merchant_cancelled
R00000082,T00002609,M0379,818.9,2026-01-18 00:38:17,merchant_cancelled
R00000083,T00002636,M0147,471.81,2026-01-20 21:33:38,duplicate_payment
R00000084,T00002643,M0444,3059.04,2026-04-05 04:08:57,merchant_cancelled
R00000085,T00002677,M0066,108.13,2026-01-04 00:29:10,merchant_cancelled
R00000086,T00002682,M0201,780.02,2026-01-26 07:11:23,quality_issue
R00000087,T00002685,M0248,477.91,2026-03-06 19:30:08,customer_request
R00000088,T00002769,M0108,612.76,2026-02-09 18:09:57,customer_request
R00000089,T00002801,M0365,356.1,2026-01-14 19:06:07,merchant_cancelled
R00000090,T00002839,M0168,811.89,2026-02-05 02:19:29,pricing_error
R00000091,T00002873,M0283,2366.95,2026-01-16 18:07:45,customer_request
R00000092,T00002963,M0314,1257.83,2026-01-17 20:35:09,merchant_cancelled
R00000093,T00002988,M0365,1713.99,2026-03-03 08:03:14,customer_request
R00000094,T00003031,M0437,1088.91,2026-01-30 10:12:10,pricing_error
R00000095,T00003046,M0211,1599.38,2026-03-25 06:08:33,merchant_cancelled
R00000096,T00003113,M0487,1223.67,2026-03-17 19:04:41,customer_request
R00000097,T00003123,M0169,712.46,2026-02-19 06:40:22,duplicate_payment
R00000098,T00003172,M0452,369.94,2026-02-09 17:02:03,merchant_cancelled
R00000099,T00003175,M0234,7140.04,2026-03-10 09:26:11,merchant_cancelled
R00000100,T00003187,M0444,536.84,2026-01-29 22:07:15,duplicate_payment
R00000101,T00003202,M0491,1410.52,2026-03-22 00:20:50,customer_request
R00000102,T00003229,M0289,339.11,2026-02-07 18:36:03,duplicate_payment
R00000103,T00003258,M0487,89.86,2026-04-03 18:46:00,merchant_cancelled
R00000104,T00003276,M0121,4463.88,2026-02-26 05:07:04,customer_request
R00000105,T00003292,M0454,2131.02,2026-03-22 23:04:27,customer_request
R00000106,T00003302,M0259,766.2,2026-01-15 07:29:09,merchant_cancelled
R00000107,T00003326,M0289,1186.2,2026-03-28 00:30:33,pricing_error
R00000108,T00003347,M0126,315.68,2026-02-13 03:05:00,pricing_error
R00000109,T00003362,M0470,652.84,2026-02-18 10:21:10,duplicate_payment
R00000110,T00003412,M0480,474.9,2026-01-17 12:24:56,merchant_cancelled
R00000111,T00003430,M0127,3244.33,2026-01-31 12:13:59,pricing_error
R00000112,T00003435,M0071,1303.54,2026-02-26 10:47:52,customer_request
R00000113,T00003440,M0500,1324.03,2026-03-14 12:03:53,customer_request
R00000114,T00003498,M0142,124.01,2026-04-06 17:40:47,quality_issue
R00000115,T00003550,M0347,1399.92,2026-03-26 17:13:45,quality_issue
R00000116,T00003562,M0487,890.94,2026-04-05 12:59:56,customer_request
R00000117,T00003607,M0289,429.94,2026-03-10 06:28:34,quality_issue
R00000118,T00003623,M0427,3728.74,2026-01-20 03:06:47,duplicate_payment
R00000119,T00003643,M0444,2108.58,2026-01-08 23:52:21,customer_request
R00000120,T00003651,M0127,1118.75,2026-02-16 13:36:18,quality_issue
R00000121,T00003652,M0327,611.53,2026-03-25 23:35:40,quality_issue
R00000122,T00003683,M0037,288.74,2026-01-29 00:10:48,merchant_cancelled
R00000123,T00003684,M0176,2481.46,2026-01-09 17:38:46,merchant_cancelled
R00000124,T00003726,M0134,262.71,2026-02-20 21:33:45,quality_issue
R00000125,T00003743,M0364,893.88,2026-03-25 11:48:00,customer_request
R00000126,T00003749,M0480,948.46,2026-04-03 06:16:14,merchant_cancelled
R00000127,T00003856,M0487,570.03,2026-02-09 10:13:00,quality_issue
R00000128,T00003880,M0366,811.67,2026-04-01 23:21:13,duplicate_payment
R00000129,T00003894,M0452,226.01,2026-02-24 07:30:33,merchant_cancelled
R00000130,T00003896,M0210,400.98,2026-03-08 09:15:56,customer_request
R00000131,T00003908,M0039,3733.89,2026-04-03 07:57:56,quality_issue
R00000132,T00003911,M0042,593.29,2026-01-13 09:04:58,customer_request
R00000133,T00003927,M0405,3113.35,2026-01-15 08:34:03,merchant_cancelled
R00000134,T00003955,M0048,1134.08,2026-02-15 12:46:10,customer_request
R00000135,T00003974,M0480,480.03,2026-02-16 19:02:35,quality_issue
R00000136,T00004075,M0196,2148.46,2026-01-17 23:31:43,pricing_error
R00000137,T00004114,M0277,336.11,2026-01-08 14:10:30,customer_request
R00000138,T00004138,M0376,233.57,2026-01-31 12:21:43,quality_issue
R00000139,T00004142,M0015,519.49,2026-03-17 21:15:31,customer_request
R00000140,T00004151,M0379,638.81,2026-01-16 15:26:47,duplicate_payment
R00000141,T00004158,M0311,486.45,2026-03-12 04:22:46,quality_issue
R00000142,T00004223,M0255,5324.53,2026-02-02 23:57:32,pricing_error
R00000143,T00004252,M0278,273.59,2026-03-11 19:50:22,merchant_cancelled
R00000144,T00004275,M0440,10103.73,2026-03-22 16:38:17,customer_request
R00000145,T00004412,M0419,1335.0,2026-01-12 07:25:35,customer_request
R00000146,T00004469,M0263,487.4,2026-02-19 15:09:12,customer_request
R00000147,T00004491,M0480,1044.41,2026-03-20 16:57:53,merchant_cancelled
R00000148,T00004547,M0259,847.98,2026-03-08 09:53:11,customer_request
R00000149,T00004568,M0138,265.57,2026-03-09 18:59:30,duplicate_payment
R00000150,T00004593,M0313,3738.95,2026-02-12 10:05:36,merchant_cancelled
R00000151,T00004609,M0085,307.16,2026-01-21 02:23:47,customer_request
R00000152,T00004670,M0078,1393.15,2026-04-06 01:56:04,merchant_cancelled
R00000153,T00004673,M0026,3264.97,2026-01-19 16:25:34,merchant_cancelled
R00000154,T00004712,M0015,176.75,2026-02-08 05:42:12,customer_request
R00000155,T00004729,M0176,708.41,2026-03-13 22:47:50,merchant_cancelled
R00000156,T00004745,M0203,338.77,2026-03-14 13:14:55,quality_issue
R00000157,T00004787,M0190,1079.49,2026-02-26 20:53:19,customer_request
R00000158,T00004858,M0450,12549.75,2026-04-02 05:26:54,customer_request
R00000159,T00004915,M0325,1340.42,2026-01-29 02:49:47,customer_request
R00000160,T00004926,M0260,5270.03,2026-01-26 11:04:02,quality_issue
R00000161,T00004986,M0375,1742.0,2026-01-31 02:21:06,quality_issue
R00000162,T00004989,M0035,209.87,2026-02-24 05:45:00,merchant_cancelled
R00000163,T00005001,M0226,617.88,2026-03-19 17:46:37,customer_request
R00000164,T00005015,M0142,803.22,2026-01-15 19:05:39,customer_request
R00000165,T00005079,M0469,228.45,2026-02-11 08:05:46,quality_issue
R00000166,T00005110,M0246,541.39,2026-02-09 14:06:51,duplicate_payment
R00000167,T00005202,M0443,1497.97,2026-01-15 21:30:06,merchant_cancelled
R00000168,T00005212,M0444,2863.82,2026-03-02 03:06:27,merchant_cancelled
R00000169,T00005226,M0147,299.4,2026-02-03 01:57:38,duplicate_payment
R00000170,T00005252,M0142,3829.54,2026-01-07 14:54:21,customer_request
R00000171,T00005258,M0324,1146.71,2026-02-04 01:08:53,quality_issue
R00000172,T00005269,M0317,1335.43,2026-01-21 21:19:24,quality_issue
R00000173,T00005284,M0169,1009.63,2026-02-28 15:01:05,quality_issue
R00000174,T00005340,M0397,1390.75,2026-03-06 17:04:41,customer_request
R00000175,T00005373,M0487,100.2,2026-02-12 13:18:06,customer_request
R00000176,T00005374,M0254,1100.34,2026-01-31 17:41:57,quality_issue
R00000177,T00005406,M0331,4073.97,2026-01-13 14:44:08,customer_request
R00000178,T00005431,M0330,1014.13,2026-03-09 00:44:32,customer_request
R00000179,T00005467,M0167,1160.59,2026-03-11 21:47:53,customer_request
R00000180,T00005505,M0289,761.56,2026-03-08 06:18:49,customer_request
R00000181,T00005543,M0165,531.91,2026-03-03 20:35:40,duplicate_payment
R00000182,T00005583,M0396,214.12,2026-03-02 14:04:34,customer_request
R00000183,T00005667,M0430,1904.2,2026-01-17 21:09:21,duplicate_payment
R00000184,T00005672,M0224,626.79,2026-03-12 08:29:30,quality_issue
R00000185,T00005678,M0289,121.24,2026-04-02 07:19:29,quality_issue
R00000186,T00005681,M0035,1653.31,2026-02-20 14:52:16,merchant_cancelled
R00000187,T00005733,M0203,625.93,2026-01-20 14:18:15,quality_issue
R00000188,T00005738,M0259,237.35,2026-01-18 06:10:26,duplicate_payment
R00000189,T00005747,M0092,4133.81,2026-01-09 09:03:48,customer_request
R00000190,T00005775,M0487,279.41,2026-02-22 22:03:03,customer_request
R00000191,T00005787,M0206,6516.73,2026-03-24 12:37:41,merchant_cancelled
R00000192,T00005794,M0142,1421.8,2026-03-26 15:29:49,duplicate_payment
R00000193,T00005807,M0059,790.35,2026-02-18 22:19:06,duplicate_payment
R00000194,T00005820,M0446,1714.81,2026-03-10 11:53:33,pricing_error
R00000195,T00005846,M0330,686.71,2026-02-15 17:00:48,customer_request
R00000196,T00005866,M0444,2244.17,2026-01-08 12:31:39,customer_request
R00000197,T00005892,M0289,754.16,2026-03-27 09:28:17,customer_request
R00000198,T00005935,M0415,59.22,2026-03-16 06:11:35,customer_request
R00000199,T00005945,M0169,830.79,2026-03-05 01:19:46,customer_request
R00000200,T00005978,M0462,481.55,2026-03-14 01:02:21,customer_request
R00000201,T00006016,M0058,1541.99,2026-01-11 14:47:47,customer_request
R00000202,T00006117,M0490,253.5,2026-02-07 14:13:57,customer_request
R00000203,T00006131,M0256,3708.17,2026-02-17 18:14:22,customer_request
R00000204,T00006151,M0289,251.61,2026-02-26 09:14:25,customer_request
R00000205,T00006349,M0347,919.56,2026-04-01 00:52:18,duplicate_payment
R00000206,T00006359,M0169,2931.27,2026-02-13 09:33:00,merchant_cancelled
R00000207,T00006382,M0263,1018.58,2026-02-05 09:30:05,quality_issue
R00000208,T00006411,M0355,812.36,2026-01-19 15:05:32,quality_issue
R00000209,T00006418,M0015,280.75,2026-01-28 16:25:55,merchant_cancelled
R00000210,T00006444,M0037,1000.34,2026-03-19 13:33:45,merchant_cancelled
R00000211,T00006547,M0078,2419.36,2026-01-30 14:15:16,quality_issue
R00000212,T00006596,M0401,2442.67,2026-03-02 06:16:39,quality_issue
R00000213,T00006645,M0249,287.26,2026-03-09 02:55:28,quality_issue
R00000214,T00006648,M0325,824.84,2026-03-13 06:42:27,customer_request
R00000215,T00006778,M0296,12968.01,2026-01-16 21:37:07,customer_request
R00000216,T00006816,M0366,259.86,2026-01-04 00:13:45,quality_issue
R00000217,T00006840,M0490,358.95,2026-01-26 23:20:51,pricing_error
R00000218,T00006850,M0289,134.99,2026-03-11 03:17:49,merchant_cancelled
R00000219,T00006857,M0474,1115.14,2026-03-05 09:19:17,duplicate_payment
R00000220,T00006890,M0113,559.45,2026-03-18 17:50:33,customer_request
R00000221,T00006940,M0282,1248.86,2026-03-13 02:48:59,quality_issue
R00000222,T00006950,M0487,414.1,2026-04-01 23:31:04,quality_issue
R00000223,T00006952,M0474,683.99,2026-03-06 13:30:59,quality_issue
R00000224,T00006982,M0289,362.29,2026-03-06 11:51:43,quality_issue
R00000225,T00007008,M0216,1554.06,2026-04-03 21:52:13,duplicate_payment
R00000226,T00007040,M0206,3016.24,2026-02-04 04:51:25,customer_request
R00000227,T00007073,M0357,1160.74,2026-03-21 23:14:50,pricing_error
R00000228,T00007079,M0303,473.41,2026-03-24 06:59:36,customer_request
R00000229,T00007114,M0487,264.16,2026-03-15 01:50:17,pricing_error
R00000230,T00007118,M0475,767.05,2026-01-19 04:18:54,merchant_cancelled
R00000231,T00007178,M0333,246.81,2026-02-13 00:58:48,pricing_error
R00000232,T00007179,M0234,8467.56,2026-02-11 16:28:58,customer_request
R00000233,T00007223,M0453,2507.9,2026-02-16 15:53:20,merchant_cancelled
R00000234,T00007228,M0397,2405.79,2026-03-14 00:38:59,quality_issue
R00000235,T00007249,M0475,1707.43,2026-01-11 13:19:38,customer_request
R00000236,T00007274,M0330,2743.1,2026-03-04 08:22:04,pricing_error
R00000237,T00007287,M0364,1279.34,2026-01-21 21:49:34,customer_request
R00000238,T00007363,M0126,265.84,2026-02-28 13:54:59,merchant_cancelled
R00000239,T00007364,M0401,3575.32,2026-02-28 23:09:58,pricing_error
R00000240,T00007367,M0365,420.41,2026-03-01 09:22:39,merchant_cancelled
R00000241,T00007387,M0444,1094.45,2026-03-14 17:39:31,customer_request
R00000242,T00007407,M0189,1840.46,2026-01-11 14:45:01,quality_issue
R00000243,T00007459,M0454,4177.81,2026-03-04 14:39:21,merchant_cancelled
R00000244,T00007462,M0246,1084.74,2026-01-09 15:29:37,merchant_cancelled
R00000245,T00007543,M0379,104.82,2026-02-03 02:08:21,customer_request
R00000246,T00007552,M0408,4104.08,2026-03-18 12:31:59,customer_request
R00000247,T00007553,M0216,1047.66,2026-04-06 08:27:33,quality_issue
R00000248,T00007599,M0401,312.68,2026-02-16 06:54:42,customer_request
R00000249,T00007601,M0482,6256.56,2026-02-16 06:55:37,customer_request
R00000250,T00007627,M0126,817.42,2026-03-16 00:28:53,duplicate_payment
R00000251,T00007643,M0444,1497.3,2026-04-03 04:52:23,quality_issue
R00000252,T00007664,M0289,540.16,2026-03-24 00:48:25,quality_issue
R00000253,T00007672,M0401,194.94,2026-03-25 16:56:01,customer_request
R00000254,T00007682,M0355,1652.07,2026-03-22 10:00:19,merchant_cancelled
R00000255,T00007694,M0478,17196.27,2026-02-03 13:13:50,customer_request
R00000256,T00007697,M0397,830.41,2026-01-13 11:30:12,merchant_cancelled
R00000257,T00007765,M0444,9215.22,2026-02-07 20:31:04,customer_request
R00000258,T00007780,M0121,5756.17,2026-02-13 19:42:34,merchant_cancelled
R00000259,T00007806,M0013,816.23,2026-02-25 22:35:04,duplicate_payment
R00000260,T00007807,M0325,947.11,2026-01-24 09:34:22,merchant_cancelled
R00000261,T00007869,M0409,817.39,2026-02-22 11:02:51,customer_request
R00000262,T00007907,M0289,372.88,2026-01-23 16:11:35,merchant_cancelled
R00000263,T00007911,M0126,157.5,2026-03-26 18:14:48,merchant_cancelled
R00000264,T00007977,M0118,2266.85,2026-01-05 12:59:34,pricing_error
R00000265,T00007984,M0410,2132.26,2026-01-25 17:54:27,duplicate_payment
R00000266,T00008029,M0333,1116.38,2026-02-16 21:07:18,merchant_cancelled
R00000267,T00008049,M0147,646.98,2026-04-05 09:14:01,duplicate_payment
R00000268,T00008111,M0206,2451.27,2026-03-07 00:30:10,customer_request
R00000269,T00008114,M0487,962.78,2026-03-26 11:18:29,quality_issue
R00000270,T00008151,M0277,1488.44,2026-02-13 22:46:01,pricing_error
R00000271,T00008222,M0490,335.41,2026-02-04 13:01:10,customer_request
R00000272,T00008227,M0424,301.82,2026-02-14 22:59:01,pricing_error
R00000273,T00008242,M0113,936.68,2026-02-02 13:12:06,merchant_cancelled
R00000274,T00008282,M0385,111.21,2026-03-06 13:20:16,customer_request
R00000275,T00008285,M0491,4828.82,2026-01-08 02:00:35,pricing_error
R00000276,T00008338,M0289,175.38,2026-03-08 05:49:38,merchant_cancelled
R00000277,T00008377,M0457,410.29,2026-03-11 05:16:50,customer_request
R00000278,T00008395,M0296,988.9,2026-02-22 00:42:18,quality_issue
R00000279,T00008405,M0297,231.93,2026-01-13 20:58:58,duplicate_payment
R00000280,T00008406,M0165,282.97,2026-01-20 23:16:21,customer_request
R00000281,T00008531,M0263,1837.52,2026-01-26 22:37:16,customer_request
R00000282,T00008600,M0335,492.62,2026-01-23 01:40:03,merchant_cancelled
R00000283,T00008629,M0113,157.04,2026-03-24 16:11:57,pricing_error
R00000284,T00008634,M0092,1385.53,2026-03-04 19:10:38,merchant_cancelled
R00000285,T00008654,M0343,613.62,2026-01-11 11:50:25,duplicate_payment
R00000286,T00008659,M0414,549.77,2026-01-05 11:24:00,quality_issue
R00000287,T00008666,M0370,253.57,2026-01-28 00:10:19,customer_request
R00000288,T00008703,M0297,1594.7,2026-01-06 07:46:50,customer_request
R00000289,T00008711,M0124,504.36,2026-01-18 22:17:23,customer_request
R00000290,T00008730,M0444,2976.3,2026-03-15 20:57:49,customer_request
R00000291,T00008734,M0246,524.52,2026-03-06 10:05:01,customer_request
R00000292,T00008736,M0165,310.71,2026-04-03 15:59:34,merchant_cancelled
R00000293,T00008738,M0126,193.02,2026-03-04 01:53:57,customer_request
R00000294,T00008743,M0048,646.76,2026-03-10 10:05:32,customer_request
R00000295,T00008750,M0150,1591.91,2026-03-16 08:37:31,customer_request
R00000296,T00008771,M0375,227.78,2026-01-29 06:30:44,quality_issue
R00000297,T00008797,M0423,231.72,2026-02-14 02:40:10,duplicate_payment
R00000298,T00008798,M0487,234.76,2026-02-18 22:32:36,customer_request
R00000299,T00008801,M0109,579.93,2026-01-22 05:33:55,customer_request
R00000300,T00008806,M0247,4530.26,2026-02-06 07:45:55,quality_issue
R00000301,T00008814,M0358,3332.21,2026-02-03 00:01:51,pricing_error
R00000302,T00008858,M0203,527.95,2026-02-02 23:28:57,customer_request
R00000303,T00008896,M0418,1714.02,2026-03-22 14:15:20,merchant_cancelled
R00000304,T00008912,M0402,1107.0,2026-02-13 19:30:57,customer_request
R00000305,T00008917,M0487,1101.38,2026-02-06 09:58:31,quality_issue
R00000306,T00008927,M0444,4182.78,2026-03-01 06:35:45,customer_request
R00000307,T00008951,M0452,644.61,2026-03-05 23:55:32,merchant_cancelled
R00000308,T00009000,M0069,635.37,2026-01-24 16:43:17,quality_issue
R00000309,T00009009,M0363,9847.42,2026-02-03 19:10:15,merchant_cancelled
R00000310,T00009023,M0004,772.75,2026-03-04 12:28:01,customer_request
R00000311,T00009025,M0142,1320.26,2026-01-21 17:01:47,merchant_cancelled
R00000312,T00009040,M0390,1776.99,2026-03-30 08:44:55,merchant_cancelled
R00000313,T00009066,M0147,382.18,2026-01-13 00:44:03,quality_issue
R00000314,T00009079,M0226,633.59,2026-03-09 23:15:36,pricing_error
R00000315,T00009115,M0355,325.07,2026-03-17 19:24:16,duplicate_payment
R00000316,T00009118,M0456,1980.9,2026-03-28 22:22:58,quality_issue
R00000317,T00009172,M0045,315.59,2026-01-09 15:44:42,pricing_error
R00000318,T00009193,M0402,941.26,2026-01-23 01:08:36,pricing_error
R00000319,T00009200,M0444,2709.11,2026-01-25 07:54:56,customer_request
R00000320,T00009235,M0289,788.92,2026-03-30 21:25:58,quality_issue
R00000321,T00009244,M0216,2118.58,2026-02-04 23:09:23,customer_request
R00000322,T00009249,M0147,552.35,2026-03-11 05:51:02,quality_issue
R00000323,T00009264,M0339,212.4,2026-01-29 05:31:21,customer_request
R00000324,T00009289,M0137,2588.74,2026-02-28 03:02:49,quality_issue
R00000325,T00009299,M0312,114.53,2026-02-19 08:19:45,customer_request
R00000326,T00009300,M0142,1179.97,2026-01-26 18:41:12,customer_request
R00000327,T00009480,M0150,133.87,2026-02-01 19:01:00,customer_request
R00000328,T00009519,M0117,920.76,2026-01-11 08:20:09,quality_issue
R00000329,T00009540,M0379,58.69,2026-02-26 19:18:59,duplicate_payment
R00000330,T00009552,M0170,1522.8,2026-01-29 23:00:46,customer_request
R00000331,T00009557,M0401,713.42,2026-03-31 07:49:34,pricing_error
R00000332,T00009560,M0365,907.67,2026-01-23 14:18:38,quality_issue
R00000333,T00009658,M0274,5403.69,2026-01-07 06:23:42,customer_request
R00000334,T00009710,M0450,3534.06,2026-03-31 23:43:11,customer_request
R00000335,T00009730,M0478,28140.15,2026-01-25 09:06:48,quality_issue
R00000336,T00009740,M0073,1386.99,2026-04-02 19:18:28,customer_request
R00000337,T00009804,M0206,12817.3,2026-01-15 21:15:14,quality_issue
R00000338,T00009850,M0083,707.12,2026-03-01 21:12:12,merchant_cancelled
R00000339,T00009895,M0203,282.02,2026-01-30 17:48:09,merchant_cancelled
R00000340,T00009923,M0246,1548.21,2026-02-08 02:42:51,duplicate_payment
R00000341,T00009947,M0030,479.35,2026-02-11 23:33:31,merchant_cancelled
R00000342,T00009961,M0196,4176.09,2026-02-09 05:15:23,quality_issue
