settlement_id,merchant_id,settlement_account_id,amount,timestamp
S00000069,M0008,SA0434,6437.12,2026-01-19 07:00:00
S00000070,M0008,SA0434,4807.17,2026-01-26 03:00:00
S00000071,M0008,SA0434,7746.31,2026-01-28 23:00:00
S00000072,M0008,SA0434,2051.22,2026-02-12 08:00:00
S00000073,M0008,SA0434,7999.43,2026-02-27 17:00:00
S00000074,M0008,SA0434,7692.7,2026-03-11 14:00:00
S00000075,M0008,SA0434,2341.13,2026-03-14 17:00:00
S00000076,M0008,SA0434,24777.64,2026-03-23 10:00:00
S00000077,M0008,SA0434,9589.09,2026-03-29 22:00:00
S00000078,M0008,SA0434,17421.11,2026-04-01 05:00:00
S00000079,M0009,SA0293,655.06,2026-02-03 20:00:00
S00000080,M0009,SA0293,546.98,2026-03-05 12:00:00
S00000081,M0010,SA0369,1622.64,2026-01-16 08:00:00
S00000082,M0010,SA0369,563.23,2026-01-28 14:00:00
S00000083,M0010,SA0369,1219.25,2026-02-12 13:00:00
S00000084,M0010,SA0369,241.92,2026-02-18 22:00:00
S00000085,M0010,SA0369,730.09,2026-03-08 17:00:00
S00000086,M0010,SA0369,228.05,2026-04-01 09:00:00
S00000087,M0011,SA0160,498.11,2026-01-07 20:00:00
S00000088,M0011,SA0160,705.53,2026-01-11 03:00:00
S00000089,M0011,SA0160,707.63,2026-01-13 04:00:00
S00000090,M0011,SA0160,172.31,2026-01-16 12:00:00
S00000091,M0011,SA0160,650.25,2026-01-25 10:00:00
S00000092,M0011,SA0160,529.1,2026-02-07 01:00:00
S00000093,M0011,SA0160,257.99,2026-02-21 12:00:00
S00000094,M0011,SA0160,1158.17,2026-03-11 22:00:00
S00000095,M0011,SA0160,696.54,2026-03-17 05:00:00
S00000096,M0011,SA0160,474.78,2026-03-20 06:00:00
S00000097,M0011,SA0160,206.39,2026-03-26 08:00:00
S00000098,M0011,SA0160,604.36,2026-04-02 02:00:00
S00000099,M0012,SA0298,669.22,2026-01-05 01:00:00
S00000100,M0012,SA0298,1006.91,2026-01-10 17:00:00
S00000101,M0012,SA0298,1718.41,2026-01-28 19:00:00
S00000102,M0012,SA0298,1815.38,2026-02-18 18:00:00
S00000103,M0012,SA0298,3577.94,2026-02-27 23:00:00
S00000104,M0012,SA0298,1523.31,2026-03-11 05:00:00
S00000105,M0012,SA0298,477.81,2026-03-17 12:00:00
S00000106,M0013,SA0703,1007.57,2026-01-05 02:00:00
S00000107,M0013,SA0703,6293.91,2026-01-07 20:00:00
S00000108,M0013,SA0703,2449.75,2026-01-16 06:00:00
S00000109,M0013,SA0703,1726.99,2026-01-26 02:00:00
S00000110,M0013,SA0703,3133.73,2026-02-15 17:00:00
S00000111,M0013,SA0703,2422.51,2026-02-21 22:00:00
S00000112,M0013,SA0703,4932.65,2026-02-25 03:00:00
S00000113,M0013,SA0703,4828.81,2026-02-27 16:00:00
S00000114,M0013,SA0703,10024.87,2026-03-02 08:00:00
S00000115,M0013,SA0703,4715.21,2026-03-05 10:00:00
S00000116,M0013,SA0703,7739.92,2026-03-08 21:00:00
S00000117,M0013,SA0703,7087.46,2026-03-11 20:00:00
S00000118,M0013,SA0703,2721.26,2026-03-17 06:00:00
S00000119,M0013,SA0703,3468.85,2026-03-23 06:00:00
S00000120,M0013,SA0703,3991.49,2026-03-26 17:00:00
S00000121,M0013,SA0703,2208.93,2026-03-29 22:00:00
S00000122,M0013,SA0703,1282.42,2026-04-02 03:00:00
S00000123,M0014,SA0460,1858.93,2026-01-14 00:00:00
S00000124,M0014,SA0460,1456.65,2026-02-28 01:00:00
S00000125,M0014,SA0460,1052.56,2026-03-14 19:00:00
S00000126,M0015,SA0324,699.94,2026-01-05 01:00:00
S00000127,M0015,SA0324,2967.69,2026-01-07 10:00:00
S00000128,M0015,SA0324,2936.99,2026-01-11 00:00:00
S00000129,M0015,SA0324,2487.0,2026-01-13 20:00:00
S00000130,M0015,SA0324,4768.89,2026-01-16 22:00:00
S00000131,M0015,SA0324,743.5,2026-01-19 17:00:00
S00000132,M0015,SA0324,3634.79,2026-01-22 22:00:00
S00000133,M0015,SA0324,7040.37,2026-01-25 05:00:00
S00000134,M0015,SA0324,3056.81,2026-01-28 12:00:00
S00000135,M0015,SA0324,4507.21,2026-01-31 16:00:00
S00000136,M0015,SA0324,6274.57,2026-02-03 23:00:00
S00000137,M0015,SA0324,4897.72,2026-02-06 16:00:00
S00000138,M0015,SA0324,1733.22,2026-02-09 10:00:00
S00000139,M0015,SA0324,2329.92,2026-02-12 16:00:00
S00000140,M0015,SA0324,765.88,2026-02-15 13:00:00
S00000141,M0015,SA0324,6323.12,2026-02-18 13:00:00
S00000142,M0015,SA0324,2363.85,2026-02-21 16:00:00
S00000143,M0015,SA0324,6551.31,2026-02-24 08:00:00
S00000144,M0015,SA0324,468.43,2026-02-28 01:00:00
S00000145,M0015,SA0324,4433.04,2026-03-02 17:00:00
S00000146,M0015,SA0324,4857.48,2026-03-06 01:00:00
S00000147,M0015,SA0324,4891.07,2026-03-08 18:00:00
S00000148,M0015,SA0324,2267.34,2026-03-11 15:00:00
S00000149,M0015,SA0324,3545.49,2026-03-14 08:00:00
S00000150,M0015,SA0324,2476.23,2026-03-17 15:00:00
S00000151,M0015,SA0324,9333.62,2026-03-21 00:00:00
S00000152,M0015,SA0324,1898.88,2026-03-23 11:00:00
S00000153,M0015,SA0324,1863.72,2026-03-26 12:00:00
S00000154,M0015,SA0324,2599.87,2026-03-29 16:00:00
S00000155,M0016,SA0094,1573.6,2026-01-19 17:00:00
S00000156,M0016,SA0094,6557.18,2026-03-05 10:00:00
S00000157,M0017,SA0680,490.43,2026-03-05 19:00:00
S00000158,M0018,SA0012,635.44,2026-01-16 23:00:00
S00000159,M0018,SA0012,1053.28,2026-02-06 11:00:00
S00000160,M0018,SA0012,2193.44,2026-02-19 00:00:00
S00000161,M0018,SA0012,3199.12,2026-02-24 14:00:00
S00000162,M0018,SA0012,1319.46,2026-03-02 13:00:00
S00000163,M0018,SA0012,349.65,2026-03-15 02:00:00
S00000164,M0018,SA0012,3664.19,2026-03-24 01:00:00
S00000165,M0018,SA0012,3177.29,2026-03-30 00:00:00
S00000166,M0019,SA0542,566.61,2026-04-01 14:00:00
S00000167,M0020,SA0666,22728.23,2026-01-05 00:00:00
S00000168,M0020,SA0666,16749.02,2026-01-22 09:00:00
S00000169,M0020,SA0666,5537.33,2026-01-28 04:00:00
S00000170,M0020,SA0666,3581.2,2026-03-02 23:00:00
S00000171,M0020,SA0666,12228.41,2026-03-11 23:00:00
S00000172,M0020,SA0666,5055.68,2026-03-20 08:00:00
S00000173,M0020,SA0666,42805.09,2026-03-30 03:00:00
S00000174,M0021,SA0209,1980.77,2026-02-03 21:00:00
S00000175,M0021,SA0209,1630.95,2026-02-06 16:00:00
S00000176,M0021,SA0209,15454.76,2026-02-18 22:00:00
S00000177,M0021,SA0209,8723.57,2026-02-21 16:00:00
S00000178,M0021,SA0209,2563.77,2026-02-24 11:00:00
S00000179,M0021,SA0209,15621.86,2026-03-15 03:00:00
S00000180,M0021,SA0209,5568.11,2026-04-01 10:00:00
S00000181,M0022,SA0129,1418.88,2026-01-13 13:00:00
S00000182,M0022,SA0129,79.15,2026-01-28 09:00:00
S00000183,M0022,SA0129,556.15,2026-02-15 20:00:00
S00000184,M0022,SA0129,1058.98,2026-02-18 21:00:00
S00000185,M0022,SA0129,633.12,2026-02-25 03:00:00
S00000186,M0022,SA0129,670.97,2026-02-28 02:00:00
S00000187,M0022,SA0129,736.15,2026-03-29 10:00:00
S00000188,M0023,SA0282,1753.07,2026-01-10 16:00:00
S00000189,M0023,SA0282,650.22,2026-02-21 09:00:00
S00000190,M0023,SA0282,3781.7,2026-03-05 18:00:00
S00000191,M0023,SA0282,2180.72,2026-03-14 16:00:00
S00000192,M0023,SA0282,12261.0,2026-03-26 05:00:00
S00000193,M0024,SA0508,486.98,2026-01-04 05:00:00
S00000194,M0024,SA0508,4163.41,2026-01-10 17:00:00
S00000195,M0024,SA0508,6697.1,2026-01-13 11:00:00
S00000196,M0024,SA0508,1037.17,2026-01-20 01:00:00
S00000197,M0024,SA0508,541.17,2026-01-28 22:00:00
S00000198,M0024,SA0508,716.46,2026-01-31 12:00:00
S00000199,M0024,SA0508,746.06,2026-02-03 04:00:00
S00000200,M0024,SA0508,956.42,2026-02-19 03:00:00
S00000201,M0024,SA0508,950.57,2026-02-25 01:00:00
S00000202,M0024,SA0508,2224.03,2026-02-28 01:00:00
S00000203,M0024,SA0508,4447.7,2026-03-23 07:00:00
S00000204,M0025,SA0313,6617.04,2026-01-29 00:00:00
S00000205,M0025,SA0313,5105.27,2026-02-01 02:00:00
S00000206,M0025,SA0313,4995.97,2026-02-03 23:00:00
S00000207,M0025,SA0313,2664.8,2026-02-18 22:00:00
S00000208,M0025,SA0313,827.12,2026-03-23 09:00:00
S00000209,M0025,SA0313,3072.71,2026-04-01 06:00:00
S00000210,M0026,SA0019,1191.72,2026-01-05 01:00:00
S00000211,M0026,SA0019,4509.02,2026-01-07 13:00:00
S00000212,M0026,SA0019,13285.92,2026-01-11 01:00:00
S00000213,M0026,SA0019,8754.98,2026-01-13 17:00:00
S00000214,M0026,SA0019,6447.62,2026-01-16 23:00:00
S00000215,M0026,SA0019,4828.26,2026-01-22 14:00:00
S00000216,M0026,SA0019,35836.59,2026-01-25 17:00:00
S00000217,M0026,SA0019,7439.86,2026-01-29 03:00:00
S00000218,M0026,SA0019,14155.01,2026-02-03 10:00:00
S00000219,M0026,SA0019,12859.69,2026-02-09 08:00:00
S00000220,M0026,SA0019,40632.09,2026-02-13 03:00:00
S00000221,M0026,SA0019,8357.08,2026-02-15 07:00:00
S00000222,M0026,SA0019,5128.38,2026-02-18 22:00:00
S00000223,M0026,SA0019,13790.81,2026-02-21 08:00:00
S00000224,M0026,SA0019,10064.21,2026-02-24 04:00:00
S00000225,M0026,SA0019,27807.36,2026-02-28 03:00:00
S00000226,M0026,SA0019,5411.74,2026-03-05 09:00:00
S00000227,M0026,SA0019,25292.71,2026-03-08 14:00:00
S00000228,M0026,SA0019,4006.09,2026-03-11 07:00:00
S00000229,M0026,SA0019,13365.23,2026-03-14 23:00:00
S00000230,M0026,SA0019,2171.16,2026-03-23 19:00:00
S00000231,M0027,SA0372,624.82,2026-01-13 17:00:00
S00000232,M0027,SA0372,454.23,2026-01-28 22:00:00
S00000233,M0027,SA0372,990.63,2026-02-09 10:00:00
S00000234,M0027,SA0372,1035.55,2026-02-24 16:00:00
S00000235,M0027,SA0372,1822.99,2026-03-05 15:00:00
S00000236,M0027,SA0372,1439.07,2026-03-18 01:00:00
S00000237,M0027,SA0372,695.86,2026-03-29 09:00:00
S00000238,M0028,SA0256,2048.98,2026-02-16 02:00:00
S00000239,M0028,SA0256,1918.82,2026-02-21 21:00:00
S00000240,M0028,SA0256,2732.34,2026-03-05 20:00:00
S00000241,M0028,SA0256,2201.16,2026-03-29 06:00:00
S00000242,M0029,SA0302,280.73,2026-03-20 19:00:00
S00000243,M0030,SA0677,6577.98,2026-01-10 19:00:00
S00000244,M0030,SA0677,7271.47,2026-01-25 22:00:00
S00000245,M0030,SA0677,921.28,2026-02-03 09:00:00
S00000246,M0030,SA0677,6773.85,2026-02-28 00:00:00
S00000247,M0031,SA0723,1403.74,2026-03-08 13:00:00
S00000248,M0032,SA0749,1184.9,2026-01-16 16:00:00
S00000249,M0032,SA0749,582.78,2026-03-05 11:00:00
S00000250,M0032,SA0749,5668.79,2026-03-20 20:00:00
S00000251,M0033,SA0085,2149.93,2026-01-04 20:00:00
S00000252,M0033,SA0085,1949.79,2026-01-13 07:00:00
S00000253,M0033,SA0085,666.75,2026-01-25 13:00:00
S00000254,M0033,SA0085,3289.6,2026-01-28 10:00:00
S00000255,M0033,SA0085,1288.77,2026-02-03 23:00:00
S00000256,M0033,SA0085,1077.32,2026-02-24 11:00:00
S00000257,M0033,SA0085,318.56,2026-03-11 12:00:00
S00000258,M0033,SA0085,1343.61,2026-03-17 17:00:00
S00000259,M0033,SA0085,1867.81,2026-03-20 11:00:00
S00000260,M0033,SA0085,400.61,2026-03-26 10:00:00
S00000261,M0034,SA0441,201.66,2026-01-13 15:00:00
S00000262,M0034,SA0441,339.71,2026-02-16 03:00:00
S00000263,M0035,SA0035,4524.37,2026-01-04 23:00:00
S00000264,M0035,SA0035,363.57,2026-01-07 05:00:00
S00000265,M0035,SA0035,470.54,2026-01-10 21:00:00
S00000266,M0035,SA0035,1935.1,2026-01-13 17:00:00
S00000267,M0035,SA0035,2464.39,2026-01-17 00:00:00
S00000268,M0035,SA0035,176.3,2026-01-22 06:00:00
S00000269,M0035,SA0035,263.32,2026-01-28 22:00:00
S00000270,M0035,SA0035,872.46,2026-01-31 05:00:00
S00000271,M0035,SA0035,643.26,2026-02-03 09:00:00
S00000272,M0035,SA0035,962.29,2026-02-09 14:00:00
S00000273,M0035,SA0035,1276.75,2026-02-15 06:00:00
S00000274,M0035,SA0035,1055.47,2026-02-18 22:00:00
S00000275,M0035,SA0035,3624.19,2026-02-22 01:00:00
S00000276,M0035,SA0035,1530.49,2026-02-25 00:00:00
S00000277,M0035,SA0035,1158.18,2026-02-27 17:00:00
S00000278,M0035,SA0035,942.03,2026-03-02 05:00:00
S00000279,M0035,SA0035,970.97,2026-03-06 02:00:00
S00000280,M0035,SA0035,273.27,2026-03-08 06:00:00
S00000281,M0035,SA0035,486.88,2026-03-11 16:00:00
S00000282,M0035,SA0035,1271.16,2026-03-17 09:00:00
S00000283,M0035,SA0035,851.04,2026-03-23 05:00:00
S00000284,M0035,SA0035,295.43,2026-03-26 05:00:00
S00000285,M0035,SA0035,2985.11,2026-04-01 13:00:00
S00000286,M0036,SA0372,12027.45,2026-01-04 12:00:00
S00000287,M0036,SA0372,5753.61,2026-01-07 08:00:00
S00000288,M0036,SA0372,9029.49,2026-01-16 08:00:00
S00000289,M0036,SA0372,1919.57,2026-01-28 07:00:00
S00000290,M0036,SA0372,3862.41,2026-02-09 05:00:00
S00000291,M0036,SA0372,1500.86,2026-02-15 09:00:00
S00000292,M0036,SA0372,5280.34,2026-02-27 18:00:00
S00000293,M0036,SA0372,6196.79,2026-03-08 16:00:00
S00000294,M0036,SA0372,3948.13,2026-03-11 21:00:00
S00000295,M0037,SA0433,836.21,2026-01-22 12:00:00
S00000296,M0037,SA0433,426.6,2026-01-28 11:00:00
S00000297,M0037,SA0433,1029.9,2026-02-13 01:00:00
S00000298,M0037,SA0433,380.04,2026-02-18 06:00:00
S00000299,M0037,SA0433,1037.61,2026-03-14 14:00:00
S00000300,M0037,SA0433,482.54,2026-03-23 10:00:00
S00000301,M0038,SA0581,731.13,2026-01-13 06:00:00
S00000302,M0038,SA0581,571.67,2026-02-16 01:00:00
S00000303,M0038,SA0581,1548.54,2026-02-18 19:00:00
S00000304,M0038,SA0581,419.18,2026-03-29 12:00:00
S00000305,M0039,SA0253,1563.53,2026-01-16 12:00:00
S00000306,M0039,SA0253,2879.18,2026-01-19 11:00:00
S00000307,M0039,SA0253,15246.84,2026-01-22 04:00:00
S00000308,M0039,SA0253,18216.69,2026-01-25 18:00:00
S00000309,M0039,SA0253,6266.6,2026-01-28 18:00:00
S00000310,M0039,SA0253,1014.5,2026-02-06 23:00:00
S00000311,M0039,SA0253,1929.84,2026-02-12 17:00:00
S00000312,M0039,SA0253,17719.01,2026-02-27 05:00:00
S00000313,M0039,SA0253,5635.14,2026-03-11 14:00:00
S00000314,M0039,SA0253,10190.92,2026-03-26 06:00:00
S00000315,M0039,SA0253,10391.45,2026-03-29 08:00:00
S00000316,M0039,SA0253,31483.73,2026-04-01 16:00:00
S00000317,M0040,SA0028,3276.09,2026-01-04 15:00:00
S00000318,M0040,SA0028,1286.04,2026-01-25 16:00:00
S00000319,M0040,SA0028,2530.86,2026-01-31 19:00:00
S00000320,M0040,SA0028,1759.24,2026-02-06 11:00:00
S00000321,M0040,SA0028,4198.92,2026-02-21 06:00:00
S00000322,M0040,SA0028,3820.67,2026-02-24 04:00:00
S00000323,M0040,SA0028,3605.28,2026-03-02 18:00:00
S00000324,M0040,SA0028,5978.35,2026-03-06 03:00:00
S00000325,M0040,SA0028,2070.21,2026-03-17 05:00:00
S00000326,M0041,SA0341,268.66,2026-02-12 12:00:00
S00000327,M0041,SA0341,614.91,2026-02-27 14:00:00
S00000328,M0041,SA0341,836.12,2026-03-20 06:00:00
S00000329,M0042,SA0321,4905.65,2026-01-13 07:00:00
S00000330,M0042,SA0321,2371.95,2026-01-22 08:00:00
S00000331,M0042,SA0321,2347.5,2026-01-28 12:00:00
S00000332,M0042,SA0321,2245.75,2026-02-04 01:00:00
S00000333,M0042,SA0321,4452.0,2026-02-12 08:00:00
S00000334,M0042,SA0321,3835.24,2026-02-21 11:00:00
S00000335,M0042,SA0321,1428.39,2026-03-11 05:00:00
S00000336,M0042,SA0321,1895.27,2026-03-14 21:00:00
S00000337,M0042,SA0321,15703.88,2026-03-29 21:00:00
S00000338,M0044,SA0075,567.07,2026-01-04 18:00:00
S00000339,M0044,SA0075,916.62,2026-02-27 22:00:00
S00000340,M0045,SA0460,835.67,2026-01-04 18:00:00
S00000341,M0045,SA0460,2316.08,2026-01-25 17:00:00
S00000342,M0045,SA0460,3442.88,2026-01-29 00:00:00
S00000343,M0045,SA0460,1910.75,2026-02-03 13:00:00
S00000344,M0045,SA0460,2354.01,2026-03-02 18:00:00
S00000345,M0046,SA0301,5760.21,2026-01-11 01:00:00
S00000346,M0046,SA0301,3539.73,2026-01-14 02:00:00
S00000347,M0046,SA0301,437.58,2026-01-19 07:00:00
S00000348,M0046,SA0301,2938.3,2026-01-22 07:00:00
S00000349,M0046,SA0301,9855.0,2026-01-31 14:00:00
S00000350,M0046,SA0301,4451.07,2026-02-03 13:00:00
S00000351,M0046,SA0301,398.9,2026-03-05 16:00:00
S00000352,M0046,SA0301,1742.19,2026-03-11 11:00:00
S00000353,M0046,SA0301,5796.66,2026-03-26 20:00:00
S00000354,M0047,SA0555,76.79,2026-01-08 03:00:00
S00000355,M0047,SA0555,352.03,2026-01-14 01:00:00
S00000356,M0047,SA0555,405.93,2026-01-16 13:00:00
S00000357,M0047,SA0555,962.05,2026-02-03 16:00:00
S00000358,M0047,SA0555,329.55,2026-02-07 00:00:00
S00000359,M0047,SA0555,495.95,2026-02-27 14:00:00
S00000360,M0047,SA0555,1139.4,2026-03-05 15:00:00
S00000361,M0047,SA0555,73.58,2026-03-14 12:00:00
S00000362,M0047,SA0555,495.9,2026-03-24 02:00:00
S00000363,M0047,SA0555,459.08,2026-04-01 07:00:00
S00000364,M0048,SA0738,1390.33,2026-01-07 23:00:00
S00000365,M0048,SA0738,1467.37,2026-01-16 10:00:00
S00000366,M0048,SA0738,827.58,2026-01-19 13:00:00
S00000367,M0048,SA0738,682.9,2026-01-25 07:00:00
S00000368,M0048,SA0738,469.72,2026-01-28 22:00:00
S00000369,M0048,SA0738,6314.96,2026-01-31 08:00:00
S00000370,M0048,SA0738,826.22,2026-02-03 06:00:00
S00000371,M0048,SA0738,4737.65,2026-02-06 07:00:00
S00000372,M0048,SA0738,2090.82,2026-02-10 02:00:00
S00000373,M0048,SA0738,4753.04,2026-02-12 21:00:00
S00000374,M0048,SA0738,668.62,2026-02-15 12:00:00
S00000375,M0048,SA0738,1163.85,2026-02-18 04:00:00
S00000376,M0048,SA0738,1269.88,2026-02-24 04:00:00
S00000377,M0048,SA0738,2782.13,2026-02-27 05:00:00
S00000378,M0048,SA0738,2664.8,2026-03-11 21:00:00
S00000379,M0048,SA0738,677.42,2026-03-18 00:00:00
S00000380,M0048,SA0738,4229.34,2026-03-20 18:00:00
S00000381,M0048,SA0738,2134.46,2026-03-24 03:00:00
S00000382,M0048,SA0738,1335.93,2026-03-26 15:00:00
S00000383,M0048,SA0738,675.72,2026-03-30 03:00:00
S00000384,M0048,SA0738,5564.24,2026-04-02 03:00:00
S00000385,M0049,SA0171,1268.77,2026-01-28 22:00:00
S00000386,M0049,SA0171,1683.38,2026-01-31 17:00:00
S00000387,M0049,SA0171,6579.01,2026-02-15 13:00:00
S00000388,M0050,SA0566,1127.5,2026-01-22 13:00:00
S00000389,M0050,SA0566,1407.29,2026-01-25 19:00:00
S00000390,M0050,SA0566,1046.06,2026-01-29 00:00:00
S00000391,M0050,SA0566,736.65,2026-01-31 21:00:00
S00000392,M0050,SA0566,2626.77,2026-02-12 05:00:00
S00000393,M0050,SA0566,1174.29,2026-02-24 17:00:00
S00000394,M0050,SA0566,1636.79,2026-02-27 11:00:00
S00000395,M0050,SA0566,1104.57,2026-03-02 08:00:00
S00000396,M0050,SA0566,1567.4,2026-03-11 17:00:00
S00000397,M0050,SA0566,767.21,2026-03-23 15:00:00
S00000398,M0050,SA0566,841.45,2026-03-27 00:00:00
S00000399,M0050,SA0566,561.78,2026-03-30 00:00:00
S00000400,M0050,SA0566,3222.25,2026-04-01 19:00:00
S00000401,M0051,SA0096,6837.12,2026-01-22 07:00:00
S00000402,M0051,SA0096,5002.87,2026-01-25 21:00:00
S00000403,M0051,SA0096,7200.23,2026-02-06 15:00:00
S00000404,M0051,SA0096,2458.15,2026-02-27 10:00:00
S00000405,M0051,SA0096,1975.51,2026-03-02 18:00:00
S00000406,M0051,SA0096,4410.19,2026-03-14 17:00:00
S00000407,M0052,SA0739,2403.84,2026-01-04 05:00:00
S00000408,M0052,SA0739,840.25,2026-01-22 18:00:00
S00000409,M0052,SA0739,726.13,2026-02-04 00:00:00
S00000410,M0052,SA0739,519.29,2026-03-26 17:00:00
S00000411,M0053,SA0361,2288.35,2026-01-04 15:00:00
S00000412,M0053,SA0361,4568.69,2026-01-07 22:00:00
S00000413,M0053,SA0361,7270.92,2026-01-10 09:00:00
S00000414,M0053,SA0361,5964.59,2026-01-16 16:00:00
S00000415,M0053,SA0361,2941.83,2026-01-25 16:00:00
S00000416,M0053,SA0361,1863.51,2026-02-03 23:00:00
S00000417,M0053,SA0361,5033.25,2026-02-12 10:00:00
S00000418,M0053,SA0361,7585.83,2026-02-18 15:00:00
S00000419,M0053,SA0361,3402.85,2026-02-22 02:00:00
S00000420,M0053,SA0361,5704.61,2026-02-24 19:00:00
S00000421,M0053,SA0361,5704.66,2026-03-11 08:00:00
S00000422,M0053,SA0361,2144.26,2026-03-17 10:00:00
S00000423,M0053,SA0361,3364.15,2026-04-01 10:00:00
S00000424,M0054,SA0560,4709.19,2026-01-07 21:00:00
S00000425,M0054,SA0560,3675.18,2026-01-13 14:00:00
S00000426,M0054,SA0560,1133.51,2026-02-07 03:00:00
S00000427,M0054,SA0560,7390.0,2026-02-24 14:00:00
S00000428,M0054,SA0560,1518.98,2026-03-08 17:00:00
S00000429,M0055,SA0584,1524.58,2026-01-08 00:00:00
S00000430,M0055,SA0584,1827.15,2026-01-10 12:00:00
S00000431,M0055,SA0584,4525.33,2026-01-22 06:00:00
S00000432,M0055,SA0584,1427.4,2026-01-28 15:00:00
S00000433,M0055,SA0584,1373.07,2026-02-07 01:00:00
S00000434,M0056,SA0457,10436.83,2026-01-10 06:00:00
S00000435,M0056,SA0457,1748.73,2026-01-25 08:00:00
S00000436,M0056,SA0457,1065.65,2026-02-03 19:00:00
S00000437,M0056,SA0457,1126.35,2026-02-10 00:00:00
S00000438,M0056,SA0457,3226.37,2026-03-06 00:00:00
S00000439,M0056,SA0457,690.11,2026-03-15 00:00:00
