settlement_account_id,bank_name,account_type,created_date
SA0070,ICICI,current,2025-12-14
SA0071,ICICI,current,2024-06-17
SA0072,Axis,current,2025-01-15
SA0073,ICICI,savings,2024-07-07
SA0074,ICICI,current,2025-01-26
SA0075,Kotak,current,2025-09-16
SA0076,Kotak,current,2025-07-01
SA0077,ICICI,current,2025-09-12
SA0078,HDFC,savings,2025-09-02
SA0079,ICICI,savings,2026-02-14
SA0080,Axis,current,2025-12-03
SA0081,YES,savings,2025-05-27
SA0082,HDFC,current,2025-12-01
SA0083,HDFC,current,2024-06-11
SA0084,Axis,current,2025-08-22
SA0085,YES,savings,2025-04-15
SA0086,Axis,current,2026-01-22
SA0087,YES,current,2025-04-03
SA0088,Axis,current,2024-09-04
SA0089,HDFC,current,2025-08-24
SA0090,SBI,savings,2026-01-18
SA0091,Kotak,current,2024-05-21
SA0092,Axis,current,2024-06-21
SA0093,ICICI,current,2025-07-14
SA0094,ICICI,current,2025-05-07
SA0095,Axis,current,2025-05-02
SA0096,SBI,current,2024-07-08
SA0097,Axis,savings,2025-05-17
SA0098,SBI,savings,2025-05-15
SA0099,SBI,savings,2025-11-14
SA0100,Axis,current,2025-01-19
SA0101,HDFC,current,2024-12-23
SA0102,SBI,current,2024-07-03
SA0103,SBI,current,2025-05-14
SA0104,Kotak,savings,2025-07-06
SA0105,Kotak,current,2024-11-09
SA0106,SBI,current,2025-08-29
SA0107,ICICI,current,2026-01-10
SA0108,ICICI,current,2024-09-01
SA0109,ICICI,current,2025-05-18
SA0110,ICICI,current,2025-08-05
SA0111,Kotak,current,2024-05-23
SA0112,HDFC,current,2024-09-04
SA0113,HDFC,current,2025-01-23
SA0114,Axis,savings,2024-08-08
SA0115,ICICI,current,2024-12-28
SA0116,Kotak,current,2024-08-14
SA0117,Kotak,current,2025-12-14
SA0118,Kotak,current,2025-06-04
SA0119,SBI,savings,2024-12-10
SA0120,SBI,current,2025-09-29
SA0121,SBI,nodal,2024-05-22
SA0122,ICICI,savings,2025-06-02
SA0123,Axis,current,2025-07-29
SA0124,YES,current,2025-10-19
SA0125,ICICI,current,2024-10-02
SA0126,HDFC,current,2025-05-30
SA0127,Axis,current,2025-09-21
SA0128,SBI,current,2025-10-11
SA0129,Kotak,current,2024-09-02
SA0130,YES,current,2026-02-04
SA0131,YES,current,2024-11-05
SA0132,SBI,current,2025-01-20
SA0133,YES,nodal,2024-09-12
SA0134,HDFC,current,2024-08-16
SA0135,SBI,current,2024-10-24
SA0136,ICICI,nodal,2024-08-07
SA0137,YES,current,2025-08-30
SA0138,Axis,current,2025-06-03
SA0139,SBI,current,2025-01-19
SA0140,HDFC,current,2025-05-01
SA0141,Kotak,savings,2025-06-07
SA0142,Axis,current,2024-09-07
SA0143,YES,current,2024-11-20
SA0144,SBI,current,2025-12-05
SA0145,HDFC,current,2024-05-18
SA0146,SBI,current,2026-01-22
SA0147,Axis,savings,2026-01-27
SA0148,ICICI,current,2024-10-22
SA0149,HDFC,current,2024-12-05
SA0150,Kotak,current,2024-09-22
SA0151,Axis,savings,2025-05-10
SA0152,SBI,current,2024-09-27
SA0153,Axis,current,2025-10-06
SA0154,Kotak,current,2025-01-17
SA0155,HDFC,savings,2026-01-29
SA0156,SBI,current,2025-11-16
SA0157,ICICI,savings,2025-01-26
SA0158,HDFC,current,2025-06-02
SA0159,HDFC,savings,2024-05-26
SA0160,SBI,savings,2024-06-23
SA0161,Axis,current,2025-04-04
SA0162,Axis,current,2025-03-14
SA0163,Kotak,current,2025-01-24
SA0164,SBI,current,2024-07-08
SA0165,Axis,current,2025-11-07
SA0166,Kotak,current,2025-01-30
SA0167,Axis,nodal,2025-03-12
SA0168,YES,current,2025-01-28
SA0169,ICICI,current,2025-03-30
SA0170,Kotak,current,2025-07-06
SA0171,Kotak,current,2025-09-19
SA0172,Axis,current,2025-05-03
SA0173,HDFC,current,2024-08-26
SA0174,Axis,current,2025-11-30
SA0175,YES,nodal,2024-11-12
SA0176,Axis,current,2024-05-21
SA0177,HDFC,nodal,2024-06-05
SA0178,ICICI,current,2025-09-26
SA0179,Axis,current,2025-01-17
SA0180,Kotak,current,2024-05-25
SA0181,SBI,current,2025-10-20
SA0182,YES,savings,2024-11-24
SA0183,Kotak,current,2026-02-05
SA0184,ICICI,current,2025-12-03
SA0185,ICICI,savings,2024-06-11
SA0186,YES,current,2025-08-02
SA0187,Axis,savings,2025-06-07
SA0188,YES,current,2024-08-30
SA0189,YES,savings,2024-12-19
SA0190,SBI,current,2025-03-26
SA0191,HDFC,current,2024-08-13
SA0192,YES,current,2025-08-23
SA0193,Axis,current,2024-11-07
SA0194,HDFC,savings,2026-01-10
SA0195,Axis,current,2025-10-14
SA0196,HDFC,current,2025-06-27
SA0197,ICICI,current,2024-07-27
SA0198,SBI,savings,2024-05-27
SA0199,SBI,current,2024-08-13
SA0200,Axis,savings,2025-03-31
SA0201,YES,current,2025-09-30
SA0202,SBI,savings,2024-08-18
SA0203,Kotak,current,2025-08-13
SA0204,YES,current,2024-06-11
SA0205,Kotak,current,2024-10-30
SA0206,ICICI,current,2025-06-04
SA0207,Kotak,savings,2025-10-31
SA0208,ICICI,nodal,2025-09-27
SA0209,SBI,current,2025-04-22
SA0210,Axis,savings,2024-06-03
SA0211,ICICI,current,2024-11-17
SA0212,HDFC,current,2025-10-02
SA0213,YES,current,2024-07-02
SA0214,Kotak,current,2025-08-13
SA0215,HDFC,current,2025-08-11
SA0216,SBI,current,2025-09-11
SA0217,ICICI,current,2024-09-29
SA0218,YES,savings,2024-10-17
SA0219,YES,savings,2024-09-17
SA0220,Kotak,current,2025-01-21
SA0221,SBI,current,2025-04-16
SA0222,HDFC,savings,2024-07-27
SA0223,ICICI,current,2025-05-14
SA0224,HDFC,savings,2024-10-13
SA0225,Kotak,current,2025-05-11
SA0226,HDFC,current,2024-11-23
SA0227,Kotak,current,2026-01-21
SA0228,YES,savings,2024-12-04
SA0229,ICICI,savings,2025-11-28
SA0230,Kotak,current,2024-09-01
SA0231,YES,nodal,2024-07-05
SA0232,SBI,savings,2024-09-10
SA0233,SBI,current,2025-02-07
SA0234,ICICI,savings,2025-12-17
SA0235,SBI,current,2024-09-02
SA0236,YES,current,2025-10-02
SA0237,Axis,current,2025-08-06
SA0238,ICICI,nodal,2024-12-20
SA0239,Axis,savings,2024-12-15
SA0240,Kotak,current,2026-01-16
SA0241,HDFC,current,2025-08-18
SA0242,Kotak,current,2024-10-13
SA0243,ICICI,savings,2025-12-24
SA0244,ICICI,savings,2025-01-30
SA0245,SBI,current,2024-07-01
SA0246,Axis,current,2025-10-21
SA0247,YES,current,2025-11-26
SA0248,ICICI,current,2025-02-22
SA0249,ICICI,current,2025-08-11
SA0250,SBI,current,2024-10-10
SA0251,YES,current,2025-11-14
SA0252,YES,current,2025-01-05
SA0253,SBI,savings,2024-10-31
SA0254,Kotak,current,2025-04-01
SA0255,YES,current,2024-10-31
SA0256,YES,savings,2025-06-18
SA0257,Kotak,savings,2025-09-08
SA0258,Axis,current,2025-01-29
SA0259,YES,current,2025-10-02
SA0260,ICICI,current,2025-02-15
SA0261,SBI,current,2026-01-31
SA0262,Kotak,current,2024-10-29
SA0263,HDFC,current,2025-08-12
SA0264,Axis,current,2025-04-23
SA0265,YES,current,2026-01-14
SA0266,ICICI,current,2024-09-30
SA0267,Kotak,current,2024-09-15
SA0268,SBI,current,2025-11-25
SA0269,YES,current,2025-12-17
SA0270,Axis,savings,2025-09-08
SA0271,HDFC,current,2025-03-15
SA0272,Kotak,current,2025-02-01
SA0273,HDFC,current,2025-07-18
SA0274,ICICI,current,2025-09-08
SA0275,YES,nodal,2024-11-06
SA0276,YES,savings,2024-05-15
SA0277,HDFC,current,2024-06-27
SA0278,SBI,current,2024-12-20
SA0279,HDFC,current,2025-07-28
SA0280,ICICI,current,2025-02-21
SA0281,YES,current,2025-06-16
SA0282,ICICI,savings,2025-03-12
SA0283,Axis,savings,2024-10-21
SA0284,Kotak,current,2025-09-09
SA0285,YES,current,2025-08-24
SA0286,SBI,current,2026-01-26
SA0287,Kotak,current,2025-10-29
SA0288,SBI,current,2025-01-12
SA0289,HDFC,savings,2025-08-12
SA0290,ICICI,savings,2024-12-24
SA0291,Kotak,current,2025-11-29
SA0292,Kotak,current,2025-06-11
SA0293,Axis,current,2025-11-04
SA0294,Kotak,savings,2024-11-09
SA0295,Kotak,current,2024-05-20
SA0296,SBI,current,2024-08-10
SA0297,ICICI,current,2025-04-21
SA0298,YES,current,2026-01-26
SA0299,YES,current,2025-06-22
SA0300,HDFC,current,2025-10-19
SA0301,Kotak,current,2025-03-12
SA0302,HDFC,savings,2026-01-24
SA0303,YES,current,2026-01-12
SA0304,Axis,current,2024-09-29
SA0305,Kotak,savings,2025-11-22
SA0306,Kotak,current,2024-05-22
SA0307,Axis,current,2025-05-31
SA0308,ICICI,current,2025-02-19
SA0309,Kotak,current,2024-11-22
SA0310,Axis,savings,2026-01-07
SA0311,Axis,current,2025-07-15
SA0312,ICICI,current,2024-08-08
SA0313,HDFC,current,2024-08-09
SA0314,Axis,current,2024-07-26
SA0315,SBI,current,2024-11-24
SA0316,Axis,savings,2024-06-24
SA0317,SBI,savings,2024-10-29
SA0318,YES,savings,2025-09-20
SA0319,Kotak,current,2025-11-29
SA0320,SBI,current,2025-10-03
SA0321,Kotak,savings,2025-03-29
SA0322,Axis,current,2025-08-05
SA0323,Axis,current,2026-01-14
SA0324,Axis,savings,2024-06-14
SA0325,YES,current,2025-12-19
SA0326,ICICI,current,2025-08-24
SA0327,SBI,savings,2025-01-17
SA0328,ICICI,current,2025-02-26
SA0329,Axis,current,2025-02-20
SA0330,YES,current,2024-08-21
SA0331,Axis,nodal,2024-10-07
SA0332,ICICI,current,2024-11-18
SA0333,YES,savings,2024-05-14
SA0334,Kotak,current,2025-04-01
SA0335,SBI,current,2025-03-16
SA0336,HDFC,current,2024-12-11
SA0337,SBI,current,2024-09-02
SA0338,Kotak,current,2026-01-31
SA0339,Axis,current,2025-07-26
SA0340,ICICI,current,2025-03-15
SA0341,HDFC,current,2025-08-23
SA0342,YES,savings,2025-01-07
SA0343,SBI,savings,2024-09-28
SA0344,Kotak,current,2025-07-22
SA0345,SBI,current,2025-09-23
SA0346,HDFC,current,2025-07-07
SA0347,SBI,current,2025-05-14
SA0348,Kotak,current,2024-05-12
SA0349,SBI,current,2025-06-29
SA0350,Axis,current,2025-06-17
SA0351,SBI,current,2025-02-03
SA0352,SBI,nodal,2024-10-16
SA0353,ICICI,current,2026-02-06
SA0354,ICICI,current,2025-01-09
SA0355,ICICI,current,2024-11-03
SA0356,Kotak,current,2025-08-13
SA0357,SBI,current,2025-03-20
SA0358,Kotak,current,2025-05-08
SA0359,ICICI,current,2025-07-06
SA0360,ICICI,current,2025-01-05
SA0361,YES,current,2024-08-17
SA0362,YES,current,2024-08-27
SA0363,SBI,savings,2026-01-11
SA0364,ICICI,nodal,2025-04-04
SA0365,Kotak,savings,2025-02-06
SA0366,HDFC,current,2024-12-04
SA0367,SBI,current,2025-08-23
SA0368,Axis,current,2025-12-25
SA0369,Kotak,savings,2025-09-22
SA0370,HDFC,savings,2025-04-23
SA0371,HDFC,savings,2025-03-16
SA0372,ICICI,current,2025-11-24
SA0373,HDFC,current,2025-11-18
SA0374,Axis,savings,2025-01-19
SA0375,YES,current,2026-01-27
SA0376,ICICI,current,2025-10-30
SA0377,SBI,current,2025-11-12
SA0378,ICICI,current,2024-06-16
SA0379,HDFC,current,2024-08-03
SA0380,Kotak,current,2024-11-20
SA0381,ICICI,savings,2025-09-17
SA0382,Axis,savings,2024-06-30
SA0383,Kotak,savings,2024-07-03
SA0384,YES,current,2024-05-31
SA0385,ICICI,current,2024-09-12
SA0386,Axis,current,2025-12-29
SA0387,YES,savings,2025-08-22
SA0388,SBI,current,2025-08-19
SA0389,HDFC,nodal,2024-11-17
SA0390,ICICI,current,2025-06-21
SA0391,Kotak,current,2025-09-29
SA0392,Kotak,savings,2025-04-22
SA0393,ICICI,current,2025-11-18
SA0394,ICICI,nodal,2025-05-16
SA0395,ICICI,current,2024-12-07
SA0396,ICICI,current,2025-06-30
SA0397,Kotak,current,2026-01-14
SA0398,YES,savings,2025-10-30
SA0399,HDFC,current,2025-03-31
SA0400,Kotak,savings,2025-06-02
SA0401,Kotak,savings,2026-02-04
SA0402,Axis,current,2025-09-09
SA0403,YES,savings,2025-04-02
SA0404,HDFC,savings,2024-11-09
SA0405,Kotak,current,2025-12-20
SA0406,HDFC,savings,2026-02-04
SA0407,YES,current,2024-06-25
SA0408,SBI,current,2024-05-31
SA0409,HDFC,current,2024-07-24
SA0410,Kotak,savings,2025-01-17
SA0411,Kotak,current,2024-08-22
SA0412,SBI,current,2025-12-05
SA0413,ICICI,current,2025-12-26
SA0414,HDFC,current,2024-09-05
SA0415,YES,savings,2025-10-31
SA0416,ICICI,savings,2024-08-10
SA0417,YES,current,2025-10-04
SA0418,Axis,current,2025-01-03
SA0419,Kotak,nodal,2024-06-06
SA0420,Kotak,current,2025-02-13
SA0421,YES,current,2025-10-27
SA0422,HDFC,savings,2026-01-07
SA0423,YES,savings,2024-07-28
SA0424,HDFC,current,2025-11-05
SA0425,YES,current,2024-11-17
SA0426,ICICI,savings,2025-03-08
SA0427,YES,current,2024-07-20
SA0428,HDFC,current,2026-02-02
SA0429,SBI,savings,2025-10-06
SA0430,Axis,current,2025-07-02
SA0431,YES,current,2025-08-26
SA0432,HDFC,current,2025-11-29
SA0433,HDFC,current,2024-08-12
SA0434,Axis,current,2024-10-17
SA0435,HDFC,current,2024-06-04
SA0436,Kotak,current,2025-03-24
SA0437,HDFC,savings,2025-03-28
SA0438,YES,current,2024-05-30
SA0439,Axis,current,2025-07-15
SA0440,YES,current,2024-05-16
SA0441,HDFC,current,2025-10-08
SA0442,ICICI,savings,2025-08-12
SA0443,SBI,current,2025-10-22
SA0444,HDFC,current,2024-07-26
SA0445,HDFC,savings,2025-11-27
SA0446,ICICI,current,2025-05-02
SA0447,Kotak,current,2025-11-23
SA0448,Kotak,savings,2025-08-06
SA0449,HDFC,current,2025-07-11
SA0450,HDFC,savings,2024-05-31
SA0451,Axis,savings,2025-08-03
SA0452,SBI,savings,2025-02-26
SA0453,Kotak,current,2025-11-14
SA0454,ICICI,savings,2025-07-29
SA0455,SBI,current,2024-06-28
SA0456,ICICI,current,2025-12-10
SA0457,ICICI,savings,2024-06-20
SA0458,Kotak,current,2024-11-21
SA0459,SBI,savings,2024-09-28
SA0460,Axis,current,2026-02-03
SA0461,HDFC,current,2024-08-18
SA0462,Axis,current,2025-11-10
SA0463,SBI,savings,2024-10-02
SA0464,YES,current,2025-07-07
SA0465,SBI,current,2024-07-08
SA0466,HDFC,current,2025-01-20
SA0467,Kotak,savings,2025-06-20
SA0468,HDFC,current,2025-08-16
SA0469,YES,current,2025-11-29
SA0470,SBI,current,2025-10-23
SA0471,Kotak,current,2025-04-13
SA0472,Axis,current,2024-11-24
SA0473,SBI,current,2024-10-27
SA0474,Axis,savings,2026-02-15
SA0475,ICICI,savings,2025-06-10
SA0476,HDFC,current,2025-12-22
SA0477,Kotak,current,2025-02-16
SA0478,YES,current,2025-03-22
SA0479,YES,nodal,2025-10-29
SA0480,ICICI,current,2025-08-23
SA0481,SBI,current,2024-09-18
SA0482,SBI,savings,2025-04-16
SA0483,Kotak,current,2024-09-26
SA0484,Axis,current,2025-09-17
SA0485,Kotak,current,2024-05-30
SA0486,YES,current,2025-10-30
SA0487,SBI,current,2026-01-04
SA0488,Axis,nodal,2024-05-26
SA0489,Axis,current,2025-06-24
SA0490,YES,current,2024-07-01
SA0491,SBI,savings,2024-12-31
SA0492,ICICI,savings,2024-12-15
SA0493,SBI,current,2025-04-13
SA0494,Axis,savings,2025-12-28
SA0495,YES,current,2025-03-07
SA0496,Kotak,current,2025-01-24
SA0497,HDFC,current,2024-07-10
SA0498,Axis,current,2025-12-08
SA0499,HDFC,savings,2024-12-01
SA0500,SBI,savings,2025-03-07
SA0501,YES,current,2024-07-09
SA0502,YES,current,2024-11-14
SA0503,HDFC,savings,2025-05-05
SA0504,HDFC,current,2025-12-17
SA0505,Kotak,current,2024-12-10
SA0506,SBI,current,2025-05-10
SA0507,SBI,current,2025-12-01
SA0508,YES,current,2024-12-31
SA0509,YES,nodal,2024-11-18
SA0510,YES,current,2024-06-08
SA0511,Kotak,current,2025-12-22
SA0512,YES,savings,2024-07-22
SA0513,Kotak,current,2024-09-28
SA0514,YES,savings,2024-08-09
SA0515,Axis,current,2025-08-13
SA0516,HDFC,current,2025-01-03
SA0517,Kotak,current,2025-08-12
SA0518,YES,savings,2025-06-09
SA0519,ICICI,current,2024-05-20
SA0520,SBI,savings,2024-11-26
SA0521,Axis,current,2024-05-13
SA0522,Axis,current,2024-06-22
SA0523,Kotak,savings,2025-03-14
SA0524,SBI,current,2024-10-30
SA0525,YES,savings,2024-07-07
SA0526,Kotak,current,2025-01-31
SA0527,YES,current,2025-02-28
SA0528,Axis,savings,2026-02-14
SA0529,HDFC,current,2025-07-15
SA0530,YES,current,2025-01-21
SA0531,HDFC,current,2025-03-14
SA0532,ICICI,savings,2024-07-07
SA0533,ICICI,current,2025-01-17
SA0534,ICICI,current,2025-05-23
SA0535,Kotak,savings,2024-05-24
SA0536,SBI,current,2025-12-29
SA0537,ICICI,savings,2025-04-10
SA0538,HDFC,savings,2025-10-04
SA0539,ICICI,current,2024-11-06
SA0540,Kotak,savings,2025-11-05
SA0541,Kotak,current,2025-01-04
SA0542,ICICI,current,2026-01-04
SA0543,HDFC,current,2025-04-15
SA0544,Axis,current,2025-06-28
SA0545,Kotak,current,2024-09-20
SA0546,HDFC,current,2026-02-16
SA0547,Kotak,current,2024-09-13
SA0548,ICICI,current,2024-06-01
SA0549,ICICI,current,2025-02-20
SA0550,Axis,savings,2025-11-04
SA0551,HDFC,current,2025-12-30
SA0552,ICICI,current,2025-11-19
SA0553,HDFC,current,2025-05-05
SA0554,ICICI,current,2025-12-27
SA0555,Kotak,current,2025-03-26
SA0556,ICICI,current,2025-03-17
SA0557,HDFC,current,2024-09-05
SA0558,ICICI,savings,2025-10-05
SA0559,HDFC,current,2024-12-02
SA0560,Axis,current,2024-09-14
SA0561,YES,savings,2025-01-06
SA0562,ICICI,current,2025-06-07
SA0563,Kotak,current,2024-11-02
SA0564,SBI,current,2024-12-30
SA0565,HDFC,current,2024-12-11
SA0566,Kotak,current,2025-06-02
SA0567,ICICI,current,2025-08-18
SA0568,Axis,current,2025-07-24
SA0569,Axis,nodal,2024-08-10
SA0570,Axis,current,2024-12-22
SA0571,HDFC,current,2025-07-06
SA0572,ICICI,current,2024-09-28
SA0573,Kotak,savings,2024-06-25
SA0574,YES,current,2024-12-06
SA0575,HDFC,current,2025-07-26
SA0576,SBI,current,2025-07-16
SA0577,YES,savings,2024-08-03
SA0578,ICICI,current,2025-07-24
SA0579,SBI,current,2024-09-14
SA0580,YES,current,2025-09-04
SA0581,YES,current,2025-05-14
SA0582,Axis,current,2024-08-01
SA0583,Kotak,current,2024-12-24
SA0584,Axis,current,2025-10-25
SA0585,ICICI,savings,2025-02-16
SA0586,YES,savings,2025-08-01
SA0587,HDFC,current,2025-09-09
SA0588,HDFC,current,2024-05-30
SA0589,Axis,current,2026-01-06
SA0590,YES,current,2024-12-15
SA0591,Kotak,current,2025-10-08
SA0592,Kotak,current,2025-03-10
SA0593,SBI,savings,2025-05-21
SA0594,SBI,current,2024-12-31
SA0595,SBI,savings,2025-11-16
SA0596,ICICI,current,2024-07-26
SA0597,SBI,current,2025-12-14
SA0598,HDFC,current,2024-09-22
SA0599,ICICI,current,2025-12-06
SA0600,YES,current,2024-05-26
SA0601,Kotak,current,2024-05-19
SA0602,HDFC,current,2024-07-10
SA0603,ICICI,current,2025-05-02
SA0604,ICICI,current,2024-10-31
SA0605,ICICI,current,2025-06-03
SA0606,Kotak,current,2025-10-25
SA0607,YES,nodal,2024-05-28
SA0608,Kotak,current,2025-04-18
SA0609,SBI,current,2025-09-03
SA0610,HDFC,current,2025-02-10
SA0611,HDFC,current,2026-01-02
SA0612,Kotak,current,2025-07-15
SA0613,Kotak,current,2024-06-02
SA0614,Axis,current,2025-04-27
SA0615,Axis,current,2025-01-15
SA0616,YES,current,2024-08-04
SA0617,Kotak,savings,2026-01-18
SA0618,HDFC,nodal,2024-10-02
SA0619,SBI,current,2024-07-04
SA0620,HDFC,current,2024-10-02
SA0621,SBI,current,2025-10-27
SA0622,Axis,current,2025-06-04
SA0623,ICICI,current,2025-10-25
SA0624,HDFC,current,2025-03-07
SA0625,SBI,current,2024-07-26
SA0626,Axis,current,2025-01-17
SA0627,Kotak,current,2024-09-17
SA0628,HDFC,nodal,2025-05-07
SA0629,ICICI,savings,2024-11-02
SA0630,Kotak,current,2026-01-31
SA0631,Kotak,current,2025-01-11
SA0632,YES,current,2024-12-01
SA0633,Kotak,current,2026-02-09
SA0634,YES,current,2025-04-14
SA0635,Axis,savings,2024-08-29
SA0636,YES,current,2025-03-19
SA0637,SBI,current,2024-10-23
SA0638,YES,nodal,2025-08-19
SA0639,SBI,current,2025-05-18
SA0640,SBI,current,2025-08-28
SA0641,Kotak,savings,2026-01-12
SA0642,SBI,savings,2025-08-27
SA0643,HDFC,current,2024-12-18
SA0644,YES,savings,2024-09-18
SA0645,SBI,current,2025-04-20
SA0646,YES,current,2025-02-26
SA0647,SBI,current,2024-11-30
SA0648,YES,savings,2025-10-20
SA0649,Axis,savings,2025-12-23
SA0650,Kotak,current,2025-01-13
SA0651,Kotak,current,2025-07-27
SA0652,ICICI,savings,2026-02-09
SA0653,Kotak,current,2024-05-18
SA0654,YES,current,2025-01-03
SA0655,Axis,savings,2025-09-02
SA0656,YES,current,2025-03-30
SA0657,YES,current,2025-10-07
SA0658,Axis,current,2025-03-15
SA0659,SBI,current,2024-06-21
SA0660,YES,savings,2025-02-16
SA0661,ICICI,current,2025-01-28
SA0662,Axis,current,2025-11-11
SA0663,Kotak,current,2024-08-14
SA0664,YES,current,2024-08-19
SA0665,ICICI,current,2024-08-10
SA0666,HDFC,current,2025-05-14
SA0667,SBI,current,2026-02-17
SA0668,YES,current,2025-06-17
SA0669,Axis,current,2025-10-23
SA0670,HDFC,current,2025-11-15
SA0671,HDFC,current,2025-06-05
SA0672,SBI,current,2025-06-10
SA0673,SBI,current,2024-10-15
SA0674,HDFC,current,2026-01-25
SA0675,SBI,current,2025-10-05
SA0676,SBI,current,2025-11-28
SA0677,ICICI,current,2026-02-09
SA0678,ICICI,savings,2024-12-23
SA0679,Axis,current,2024-08-12
SA0680,YES,current,2025-11-20
SA0681,YES,current,2025-03-14
SA0682,Axis,current,2026-01-24
SA0683,HDFC,current,2025-08-05
SA0684,YES,current,2024-10-25
SA0685,YES,current,2024-12-27
SA0686,ICICI,savings,2025-06-11
SA0687,SBI,current,2025-01-22
SA0688,HDFC,savings,2024-11-10
SA0689,Kotak,savings,2024-09-24
SA0690,Kotak,current,2025-07-07
SA0691,HDFC,savings,2024-06-02
SA0692,Kotak,nodal,2024-07-10
SA0693,SBI,current,2024-06-07
SA0694,Axis,current,2025-08-31
SA0695,ICICI,current,2024-05-30
SA0696,Kotak,current,2025-02-07
SA0697,SBI,current,2024-07-28
SA0698,YES,current,2025-05-27
SA0699,HDFC,current,2024-06-02
SA0700,Axis,savings,2024-05-27
SA0701,ICICI,current,2025-02-02
SA0702,YES,current,2025-08-06
SA0703,Axis,current,2024-07-21
SA0704,Kotak,savings,2025-03-29
SA0705,HDFC,current,2025-10-19
SA0706,Kotak,current,2025-06-21
SA0707,HDFC,current,2025-09-10
SA0708,SBI,current,2024-12-02
SA0709,ICICI,savings,2026-01-13
SA0710,HDFC,current,2024-08-13
SA0711,Axis,current,2025-06-08
SA0712,ICICI,current,2025-02-18
SA0713,Axis,savings,2024-05-31
SA0714,Kotak,savings,2026-01-14
SA0715,ICICI,current,2025-08-10
SA0716,Kotak,savings,2024-10-06
SA0717,ICICI,current,2024-06-14
SA0718,ICICI,savings,2025-07-24
SA0719,Axis,savings,2025-04-30
SA0720,Axis,current,2024-06-12
SA0721,Axis,current,2026-02-10
SA0722,ICICI,current,2025-08-20
SA0723,Axis,current,2025-03-07
SA0724,ICICI,current,2024-10-12
SA0725,ICICI,current,2024-11-03
SA0726,YES,current,2025-02-28
SA0727,HDFC,current,2024-06-17
SA0728,SBI,current,2025-01-05
SA0729,SBI,current,2024-09-29
SA0730,ICICI,current,2024-07-23
SA0731,Kotak,current,2024-07-31
SA0732,SBI,savings,2024-12-21
SA0733,Kotak,nodal,2025-01-14
SA0734,SBI,current,2024-12-24
SA0735,YES,current,2025-08-02
SA0736,Kotak,current,2025-04-15
SA0737,ICICI,nodal,2024-09-13
SA0738,YES,current,2026-02-02
SA0739,YES,savings,2025-08-28
SA0740,Axis,current,2025-03-12
SA0741,HDFC,current,2024-06-11
SA0742,Axis,current,2025-12-26
SA0743,Kotak,savings,2025-09-06
SA0744,SBI,savings,2025-03-07
SA0745,HDFC,current,2024-08-24
SA0746,Axis,current,2024-07-19
SA0747,Kotak,current,2024-11-15
SA0748,ICICI,savings,2024-10-07
