device_id,device_type,os,first_seen
D0136,mobile,Windows,2025-10-05
D0137,mobile,Windows,2026-01-26
D0138,desktop,macOS,2025-11-02
D0139,mobile,Android,2025-11-23
D0140,desktop,Android,2025-10-08
D0141,mobile,Android,2025-12-16
D0142,mobile,Android,2026-01-09
D0143,mobile,Android,2026-01-12
D0144,mobile,iOS,2025-12-11
D0145,mobile,iOS,2025-12-21
D0146,mobile,Windows,2025-12-03
D0147,pos,Android,2025-11-25
D0148,desktop,Android,2025-12-08
D0149,mobile,Windows,2026-01-23
D0150,mobile,Android,2025-11-02
D0151,mobile,macOS,2025-11-28
D0152,desktop,Android,2025-12-14
D0153,mobile,iOS,2025-12-10
D0154,mobile,macOS,2025-10-06
D0155,mobile,iOS,2025-11-06
D0156,mobile,Windows,2025-12-19
D0157,mobile,Windows,2025-12-25
D0158,tablet,Android,2025-12-30
D0159,pos,Windows,2026-01-29
D0160,mobile,macOS,2025-12-22
D0161,mobile,POS,2025-12-11
D0162,mobile,iOS,2025-11-11
D0163,mobile,Android,2025-11-16
D0164,mobile,Windows,2026-01-10
D0165,mobile,iOS,2025-11-28
D0166,desktop,Android,2025-12-27
D0167,pos,Android,2025-10-17
D0168,desktop,Android,2025-10-18
D0169,desktop,iOS,2025-10-28
D0170,mobile,Android,2025-10-26
D0171,mobile,Android,2025-12-14
D0172,mobile,Android,2025-12-18
D0173,desktop,Linux,2025-12-08
D0174,mobile,Android,2025-11-06
D0175,desktop,Android,2025-12-11
D0176,mobile,iOS,2025-10-17
D0177,mobile,Android,2025-11-28
D0178,mobile,POS,2025-10-21
D0179,pos,Linux,2025-10-12
D0180,mobile,Android,2025-10-22
D0181,mobile,iOS,2025-10-16
D0182,mobile,Android,2025-11-29
D0183,desktop,Android,2025-12-07
D0184,pos,Android,2025-12-14
D0185,mobile,Android,2025-11-24
D0186,pos,Android,2025-10-24
D0187,mobile,iOS,2025-10-05
D0188,desktop,Android,2025-12-27
D0189,mobile,Android,2026-01-28
D0190,mobile,iOS,2025-11-05
D0191,desktop,iOS,2025-10-27
D0192,mobile,Android,2025-11-09
D0193,mobile,Android,2025-10-28
D0194,desktop,Android,2025-10-29
D0195,pos,Android,2025-12-01
D0196,mobile,Windows,2026-01-05
D0197,desktop,Linux,2025-12-27
D0198,desktop,Android,2026-01-26
D0199,mobile,Android,2025-11-14
D0200,tablet,Windows,2025-12-01
D0201,mobile,Windows,2025-11-17
D0202,desktop,Android,2025-10-08
D0203,mobile,Android,2025-11-18
D0204,mobile,iOS,2025-11-03
D0205,mobile,iOS,2025-11-29
D0206,mobile,Android,2025-10-21
D0207,tablet,Android,2025-12-30
D0208,pos,Android,2026-01-12
D0209,mobile,Android,2026-01-26
D0210,mobile,iOS,2025-10-13
D0211,mobile,Windows,2025-10-17
D0212,mobile,iOS,2026-01-26
D0213,mobile,Android,2026-01-12
D0214,tablet,Android,2025-12-12
D0215,desktop,macOS,2025-11-10
D0216,mobile,iOS,2025-12-04
D0217,mobile,Android,2025-12-06
D0218,desktop,Android,2026-01-12
D0219,mobile,Windows,2025-12-05
D0220,mobile,Windows,2025-10-06
D0221,mobile,macOS,2025-12-25
D0222,mobile,Windows,2026-01-04
D0223,mobile,iOS,2025-11-07
D0224,desktop,iOS,2025-10-16
D0225,mobile,Android,2025-10-20
D0226,desktop,Windows,2026-01-11
D0227,mobile,iOS,2025-11-25
D0228,tablet,Android,2025-12-05
D0229,mobile,macOS,2026-01-26
D0230,mobile,Android,2025-10-10
D0231,mobile,Android,2025-10-27
D0232,mobile,Android,2026-01-10
D0233,mobile,macOS,2025-12-06
D0234,desktop,Linux,2025-10-06
D0235,mobile,iOS,2025-12-26
D0236,mobile,POS,2025-10-19
D0237,mobile,macOS,2026-01-04
D0238,desktop,macOS,2026-01-06
D0239,tablet,macOS,2026-01-09
D0240,desktop,Android,2025-11-27
D0241,mobile,Windows,2025-11-04
D0242,desktop,iOS,2026-01-16
D0243,desktop,Windows,2025-12-09
D0244,mobile,Android,2025-12-18
D0245,mobile,Windows,2025-10-19
D0246,desktop,POS,2025-12-16
D0247,mobile,Android,2025-12-11
D0248,desktop,POS,2025-11-07
D0249,mobile,Android,2026-01-03
D0250,mobile,Android,2025-10-19
D0251,mobile,Android,2025-12-28
D0252,desktop,Windows,2026-01-26
D0253,tablet,iOS,2025-12-10
D0254,mobile,Android,2025-10-15
D0255,mobile,Windows,2025-12-08
D0256,mobile,Android,2025-12-05
D0257,mobile,iOS,2025-12-08
D0258,pos,macOS,2025-11-04
D0259,mobile,Windows,2025-12-17
D0260,mobile,Windows,2025-11-03
D0261,mobile,iOS,2025-12-08
D0262,pos,POS,2025-12-13
D0263,mobile,Android,2025-12-19
D0264,desktop,Android,2026-01-06
D0265,mobile,Android,2026-01-16
D0266,mobile,iOS,2026-01-04
D0267,desktop,Windows,2026-01-06
D0268,mobile,Windows,2026-01-15
D0269,desktop,Android,2025-11-01
D0270,mobile,Android,2025-11-07
D0271,desktop,Windows,2025-12-05
D0272,desktop,POS,2025-11-27
D0273,desktop,Android,2025-12-26
D0274,mobile,Android,2025-10-04
D0275,desktop,Android,2025-10-19
D0276,pos,iOS,2025-12-31
D0277,mobile,Android,2026-01-09
D0278,mobile,Android,2025-11-08
D0279,desktop,Windows,2025-11-09
D0280,mobile,Android,2025-12-09
D0281,desktop,Android,2025-11-29
D0282,desktop,Android,2025-10-23
D0283,mobile,Linux,2025-12-02
D0284,mobile,Android,2026-01-09
D0285,mobile,Android,2025-12-29
D0286,mobile,Android,2026-01-09
D0287,tablet,Windows,2025-12-19
D0288,mobile,macOS,2026-01-16
D0289,mobile,Android,2025-11-01
D0290,desktop,Android,2025-10-08
D0291,mobile,Android,2025-10-16
D0292,desktop,Windows,2026-01-30
D0293,mobile,Linux,2025-12-18
D0294,mobile,iOS,2025-11-01
D0295,mobile,Android,2026-01-13
D0296,desktop,Windows,2025-11-09
D0297,desktop,Windows,2025-12-13
D0298,desktop,Android,2025-11-01
D0299,pos,Android,2025-10-14
D0300,desktop,Android,2025-11-04
D0301,desktop,Windows,2025-10-30
D0302,mobile,Windows,2025-12-08
D0303,pos,Windows,2025-10-05
D0304,desktop,macOS,2025-10-31
D0305,tablet,Android,2025-12-10
D0306,mobile,Android,2025-11-19
D0307,mobile,Android,2025-12-18
D0308,desktop,macOS,2025-12-20
D0309,mobile,iOS,2026-01-26
D0310,mobile,Android,2026-01-11
D0311,pos,Android,2025-10-30
D0312,mobile,Windows,2025-12-25
D0313,mobile,Windows,2025-12-17
D0314,mobile,Windows,2025-12-13
D0315,mobile,Android,2026-01-06
D0316,desktop,Linux,2025-10-20
D0317,pos,Windows,2025-11-17
D0318,pos,Windows,2026-01-08
D0319,desktop,Windows,2026-01-18
D0320,desktop,Linux,2025-10-07
D0321,mobile,Linux,2025-11-28
D0322,tablet,iOS,2025-11-03
D0323,mobile,Android,2025-10-23
D0324,mobile,Android,2025-10-09
D0325,pos,Windows,2025-12-06
D0326,tablet,Windows,2025-12-22
D0327,mobile,Android,2025-12-05
D0328,desktop,Android,2025-11-16
D0329,mobile,Linux,2026-01-03
D0330,mobile,macOS,2025-12-20
D0331,mobile,POS,2026-01-20
D0332,mobile,iOS,2025-11-13
D0333,mobile,Windows,2025-10-31
D0334,mobile,macOS,2025-11-26
D0335,mobile,Android,2025-12-02
D0336,mobile,Android,2025-11-26
D0337,pos,POS,2026-01-10
D0338,desktop,Android,2025-10-08
D0339,tablet,iOS,2025-12-05
D0340,mobile,Windows,2025-11-23
D0341,desktop,Windows,2025-10-28
D0342,desktop,Android,2025-12-18
D0343,mobile,Windows,2026-01-07
D0344,mobile,Android,2025-12-07
D0345,mobile,macOS,2025-10-13
D0346,mobile,Android,2025-10-12
D0347,mobile,Windows,2025-11-22
D0348,mobile,Windows,2025-12-22
D0349,mobile,Android,2025-11-09
D0350,desktop,Android,2025-11-09
D0351,mobile,Windows,2026-01-14
D0352,mobile,Android,2025-10-04
D0353,desktop,Android,2025-10-12
D0354,mobile,iOS,2025-10-21
D0355,mobile,Linux,2026-01-29
D0356,mobile,iOS,2025-12-01
D0357,mobile,Android,2025-10-21
D0358,mobile,POS,2025-11-09
D0359,mobile,iOS,2026-01-27
D0360,mobile,iOS,2025-12-25
D0361,pos,Android,2025-10-29
D0362,pos,Android,2025-10-31
D0363,mobile,Android,2025-10-11
D0364,mobile,Windows,2026-01-03
D0365,mobile,Android,2025-10-19
D0366,desktop,Windows,2025-11-06
D0367,desktop,Android,2025-11-13
D0368,mobile,Android,2025-12-16
D0369,mobile,Android,2025-12-14
D0370,mobile,iOS,2026-01-06
D0371,tablet,Windows,2025-11-07
D0372,tablet,Android,2025-11-18
D0373,mobile,Android,2025-11-18
D0374,mobile,Android,2025-10-08
D0375,mobile,Windows,2025-12-30
D0376,desktop,Android,2025-12-06
D0377,pos,Windows,2025-11-29
D0378,mobile,Android,2026-01-30
D0379,mobile,Android,2025-10-24
D0380,mobile,Windows,2026-01-27
D0381,mobile,iOS,2025-12-23
D0382,desktop,Android,2025-10-29
D0383,mobile,POS,2025-12-23
D0384,tablet,Android,2026-01-01
D0385,mobile,Android,2025-11-15
D0386,mobile,Android,2025-11-13
D0387,mobile,iOS,2026-01-11
D0388,mobile,Windows,2025-10-22
D0389,mobile,Android,2025-10-04
D0390,desktop,Linux,2025-12-21
D0391,mobile,Windows,2026-01-19
D0392,mobile,POS,2025-12-02
D0393,mobile,Windows,2025-10-19
D0394,mobile,Linux,2025-12-06
D0395,tablet,Windows,2025-11-02
D0396,pos,Android,2026-01-10
D0397,mobile,iOS,2025-12-15
D0398,desktop,Windows,2025-11-12
D0399,desktop,iOS,2025-12-16
D0400,pos,Windows,2025-12-22
D0401,mobile,Android,2025-12-23
D0402,mobile,macOS,2025-11-15
D0403,mobile,Android,2025-12-10
D0404,tablet,POS,2025-10-08
D0405,desktop,Android,2025-11-20
D0406,mobile,Android,2025-11-17
D0407,mobile,Windows,2025-12-06
D0408,desktop,Windows,2026-01-25
D0409,tablet,Windows,2026-01-25
D0410,mobile,POS,2025-11-29
D0411,desktop,Android,2025-12-19
D0412,mobile,macOS,2025-10-15
D0413,mobile,Android,2025-11-29
D0414,mobile,iOS,2025-12-24
D0415,desktop,iOS,2025-12-23
D0416,pos,Android,2026-01-26
D0417,mobile,iOS,2025-11-27
D0418,mobile,Windows,2026-01-19
D0419,mobile,Android,2026-01-28
D0420,mobile,Linux,2025-12-10
D0421,mobile,iOS,2025-10-13
D0422,mobile,Android,2025-11-17
D0423,mobile,Windows,2026-01-02
D0424,mobile,Android,2025-12-11
D0425,mobile,Android,2026-01-23
D0426,desktop,Windows,2026-01-08
D0427,mobile,Android,2025-10-10
D0428,desktop,Android,2026-01-14
D0429,pos,Windows,2025-11-14
D0430,mobile,Android,2026-01-09
D0431,mobile,Windows,2025-12-02
D0432,mobile,Windows,2025-11-26
D0433,desktop,Android,2025-10-11
D0434,mobile,iOS,2025-10-17
D0435,mobile,Android,2025-12-13
D0436,mobile,Windows,2025-12-10
D0437,mobile,Android,2025-12-08
D0438,mobile,POS,2025-10-21
D0439,desktop,Android,2025-12-03
D0440,mobile,Windows,2025-10-10
D0441,mobile,Android,2025-10-20
D0442,desktop,Android,2025-12-01
D0443,mobile,iOS,2025-12-16
D0444,desktop,iOS,2025-12-20
D0445,mobile,POS,2026-01-28
D0446,mobile,Android,2026-01-13
D0447,pos,Android,2025-11-17
D0448,mobile,Android,2026-01-04
D0449,mobile,Android,2025-10-14
D0450,pos,macOS,2026-01-13
D0451,desktop,Linux,2025-11-18
D0452,desktop,macOS,2026-01-02
D0453,mobile,Android,2026-01-27
D0454,mobile,Android,2025-12-26
D0455,desktop,Windows,2026-01-21
D0456,mobile,Android,2025-10-04
D0457,mobile,Windows,2025-10-23
D0458,desktop,Android,2025-12-17
D0459,mobile,Android,2025-12-06
D0460,mobile,macOS,2025-10-17
D0461,mobile,Android,2025-12-28
D0462,mobile,POS,2025-10-10
D0463,desktop,Android,2026-01-29
D0464,tablet,Android,2025-10-21
D0465,mobile,Android,2025-11-25
D0466,mobile,Android,2026-01-09
D0467,mobile,iOS,2025-12-03
D0468,mobile,Android,2025-12-31
D0469,mobile,Windows,2025-12-26
D0470,pos,macOS,2026-01-24
D0471,mobile,Android,2025-11-27
D0472,mobile,Android,2026-01-28
D0473,pos,Android,2025-12-04
D0474,mobile,Windows,2026-01-18
D0475,pos,iOS,2025-12-29
D0476,mobile,Android,2025-10-18
D0477,mobile,iOS,2025-12-19
D0478,pos,iOS,2026-01-16
D0479,mobile,Android,2025-10-18
D0480,mobile,Android,2026-01-11
D0481,mobile,POS,2025-10-15
D0482,desktop,Android,2026-01-15
D0483,mobile,Android,2026-01-05
D0484,mobile,Android,2025-10-21
D0485,desktop,iOS,2025-12-29
D0486,desktop,iOS,2025-10-17
D0487,mobile,Android,2025-12-10
D0488,mobile,iOS,2026-01-21
D0489,mobile,Windows,2025-10-27
D0490,mobile,Android,2025-10-23
D0491,mobile,Linux,2025-11-22
D0492,mobile,Android,2025-11-16
D0493,mobile,Android,2025-10-08
D0494,mobile,POS,2025-11-26
D0495,desktop,Windows,2025-11-03
D0496,mobile,Android,2025-10-17
D0497,pos,macOS,2025-11-05
D0498,pos,iOS,2025-10-05
D0499,desktop,Android,2026-01-20
D0500,pos,macOS,2026-01-30
D0501,tablet,Windows,2025-11-16
D0502,mobile,Android,2026-01-16
D0503,desktop,Windows,2025-11-27
D0504,mobile,Android,2026-01-20
D0505,desktop,Android,2025-10-23
D0506,mobile,POS,2025-11-06
D0507,mobile,iOS,2025-12-30
D0508,mobile,iOS,2025-10-29
D0509,pos,iOS,2026-01-09
D0510,mobile,iOS,2025-11-23
D0511,mobile,Android,2025-11-20
D0512,mobile,POS,2025-11-26
D0513,mobile,Windows,2026-01-06
D0514,desktop,Windows,2025-10-03
D0515,desktop,iOS,2026-01-01
D0516,mobile,Android,2026-01-04
D0517,mobile,Android,2026-01-09
D0518,mobile,Android,2026-01-30
D0519,mobile,Android,2026-01-04
D0520,desktop,Windows,2025-12-05
D0521,desktop,macOS,2025-11-27
D0522,mobile,Android,2025-11-18
D0523,desktop,Android,2026-01-10
D0524,mobile,Windows,2025-11-19
D0525,mobile,Android,2025-12-10
D0526,mobile,Linux,2025-10-14
D0527,desktop,Android,2025-11-10
D0528,mobile,Android,2025-11-03
D0529,pos,Android,2025-11-24
D0530,mobile,Linux,2025-12-02
D0531,mobile,Android,2025-12-27
D0532,mobile,Windows,2025-11-23
D0533,mobile,Android,2025-10-21
D0534,mobile,Android,2025-12-07
D0535,mobile,macOS,2025-10-09
D0536,desktop,Android,2026-01-12
D0537,mobile,Android,2026-01-03
D0538,desktop,iOS,2025-10-30
D0539,desktop,macOS,2025-11-03
D0540,mobile,Android,2025-10-06
D0541,mobile,Android,2025-11-15
D0542,mobile,POS,2025-10-07
D0543,mobile,Windows,2026-01-23
D0544,desktop,macOS,2025-10-19
D0545,pos,Windows,2025-12-21
D0546,desktop,Windows,2025-12-10
D0547,mobile,Android,2025-10-31
D0548,desktop,Android,2026-01-07
D0549,desktop,Windows,2025-10-16
D0550,mobile,Windows,2026-01-17
D0551,desktop,POS,2025-12-30
D0552,mobile,iOS,2025-12-18
D0553,mobile,Android,2026-01-16
D0554,mobile,iOS,2025-11-20
D0555,mobile,Windows,2025-11-05
D0556,tablet,iOS,2025-10-21
D0557,mobile,Windows,2026-01-21
D0558,mobile,iOS,2025-11-20
D0559,mobile,Android,2026-01-10
D0560,mobile,iOS,2025-11-11
D0561,mobile,Windows,2026-01-25
D0562,mobile,Linux,2026-01-15
D0563,desktop,Android,2025-11-08
D0564,mobile,iOS,2025-11-30
D0565,desktop,iOS,2026-01-06
D0566,mobile,iOS,2025-10-30
D0567,desktop,Android,2025-10-05
D0568,desktop,macOS,2025-11-06
D0569,mobile,Linux,2025-12-12
D0570,mobile,iOS,2025-10-19
D0571,pos,iOS,2025-11-12
D0572,mobile,Android,2026-01-21
D0573,desktop,iOS,2025-10-12
D0574,mobile,iOS,2025-10-09
D0575,mobile,Windows,2025-11-22
D0576,mobile,Android,2025-10-04
D0577,tablet,Windows,2025-10-06
D0578,mobile,Android,2025-10-24
D0579,desktop,Windows,2025-10-15
D0580,desktop,Windows,2026-01-08
D0581,mobile,Android,2025-10-17
D0582,mobile,iOS,2025-12-04
D0583,mobile,macOS,2025-12-26
D0584,mobile,Windows,2025-12-17
D0585,desktop,Android,2025-12-20
D0586,mobile,iOS,2025-11-14
D0587,mobile,Android,2026-01-17
D0588,desktop,Windows,2025-10-11
D0589,desktop,Windows,2025-10-15
D0590,mobile,Android,2026-01-13
D0591,mobile,Windows,2025-10-11
D0592,mobile,Windows,2025-10-26
D0593,desktop,Windows,2025-10-23
D0594,mobile,Android,2025-10-06
D0595,mobile,Android,2025-10-17
D0596,mobile,iOS,2025-12-10
D0597,desktop,Android,2025-12-21
D0598,desktop,iOS,2025-10-12
D0599,mobile,Android,2026-01-24
D0600,tablet,Android,2025-10-14
D0601,desktop,Windows,2025-12-24
D0602,mobile,Android,2026-01-07
D0603,desktop,Windows,2025-12-04
D0604,mobile,Android,2025-11-30
D0605,pos,iOS,2025-10-16
D0606,mobile,Android,2025-10-31
D0607,mobile,Windows,2026-01-13
D0608,mobile,Windows,2025-11-13
D0609,mobile,Android,2025-10-07
D0610,desktop,Windows,2025-12-29
D0611,mobile,Android,2025-12-24
D0612,mobile,iOS,2025-10-10
D0613,mobile,Android,2025-10-09
D0614,tablet,iOS,2025-10-16
D0615,desktop,Android,2025-10-09
D0616,mobile,macOS,2025-12-15
D0617,mobile,iOS,2025-10-18
D0618,mobile,iOS,2025-12-14
D0619,tablet,Android,2025-10-24
D0620,desktop,Android,2026-01-27
D0621,mobile,Android,2025-12-29
D0622,tablet,Linux,2025-11-16
D0623,mobile,Windows,2025-11-23
D0624,desktop,Android,2025-10-10
D0625,mobile,Windows,2025-10-09
D0626,mobile,Android,2025-12-06
D0627,mobile,Android,2025-10-05
D0628,mobile,iOS,2025-12-18
D0629,pos,Android,2025-11-17
D0630,mobile,Android,2025-10-19
D0631,desktop,Windows,2025-12-06
D0632,desktop,Android,2025-12-08
D0633,desktop,macOS,2025-12-31
D0634,pos,Windows,2025-10-26
D0635,mobile,macOS,2025-12-07
D0636,mobile,Windows,2026-01-12
D0637,mobile,macOS,2025-11-04
D0638,mobile,Android,2026-01-11
D0639,tablet,iOS,2025-12-28
D0640,mobile,iOS,2025-11-23
D0641,mobile,Linux,2026-01-16
D0642,mobile,Android,2026-01-27
D0643,mobile,iOS,2025-10-31
D0644,desktop,Windows,2026-01-28
D0645,mobile,Android,2025-10-03
D0646,desktop,macOS,2025-10-18
D0647,desktop,Android,2025-10-08
D0648,desktop,Android,2025-11-16
D0649,mobile,iOS,2026-01-23
D0650,desktop,iOS,2025-12-14
D0651,mobile,Android,2025-12-15
D0652,mobile,Android,2025-10-13
D0653,desktop,Android,2025-12-03
D0654,desktop,Windows,2025-11-17
D0655,mobile,macOS,2025-11-29
D0656,tablet,iOS,2025-11-03
D0657,mobile,Android,2025-10-27
D0658,desktop,iOS,2026-01-25
D0659,pos,macOS,2025-12-09
D0660,mobile,Windows,2025-11-21
D0661,desktop,Android,2025-10-11
D0662,desktop,Android,2026-01-02
D0663,desktop,Linux,2025-11-28
D0664,desktop,macOS,2025-11-18
D0665,desktop,Android,2025-12-22
D0666,mobile,macOS,2025-10-18
D0667,desktop,Android,2025-12-05
D0668,mobile,Android,2026-01-14
D0669,pos,Windows,2025-11-27
D0670,mobile,iOS,2025-10-03
D0671,mobile,Android,2025-10-30
D0672,tablet,Linux,2025-10-09
D0673,mobile,macOS,2025-12-02
D0674,mobile,Android,2025-11-15
D0675,desktop,Windows,2025-10-18
D0676,mobile,Windows,2025-12-24
D0677,mobile,iOS,2025-10-24
D0678,mobile,POS,2025-11-13
D0679,mobile,Windows,2026-01-29
D0680,mobile,Android,2025-10-10
D0681,mobile,Android,2025-11-01
D0682,mobile,macOS,2025-11-10
D0683,mobile,POS,2025-12-03
D0684,mobile,Android,2025-11-01
D0685,desktop,Android,2026-01-27
D0686,desktop,Windows,2025-10-03
D0687,mobile,Android,2026-01-24
D0688,mobile,Android,2025-12-06
D0689,tablet,macOS,2025-10-07
D0690,desktop,Windows,2025-10-16
D0691,mobile,macOS,2025-10-15
D0692,mobile,Windows,2025-11-06
D0693,mobile,Android,2025-11-11
D0694,desktop,Linux,2025-12-18
D0695,pos,Android,2025-11-09
D0696,pos,Android,2025-12-29
D0697,mobile,macOS,2025-11-07
D0698,mobile,Windows,2025-11-03
D0699,mobile,macOS,2025-11-05
D0700,mobile,Android,2025-11-11
D0701,mobile,POS,2026-01-11
D0702,desktop,Windows,2025-11-01
D0703,mobile,Windows,2025-11-04
D0704,pos,Linux,2026-01-25
D0705,mobile,Android,2025-12-20
D0706,mobile,Windows,2025-10-25
D0707,tablet,Windows,2026-01-15
D0708,desktop,Windows,2025-10-24
D0709,mobile,macOS,2025-10-22
D0710,desktop,Windows,2025-11-25
D0711,mobile,Android,2025-12-24
D0712,mobile,Android,2025-10-25
D0713,mobile,POS,2026-01-01
D0714,mobile,POS,2025-10-21
D0715,desktop,POS,2026-01-04
D0716,mobile,Android,2025-10-14
D0717,desktop,Android,2025-11-27
D0718,desktop,Windows,2025-12-18
D0719,mobile,Windows,2025-11-03
D0720,mobile,Android,2025-12-15
D0721,mobile,Windows,2025-12-24
D0722,desktop,Android,2025-12-20
D0723,desktop,iOS,2025-11-19
D0724,desktop,Android,2026-01-03
D0725,mobile,Android,2025-12-29
D0726,mobile,Android,2025-11-11
D0727,mobile,Linux,2025-12-30
D0728,mobile,Windows,2026-01-21
D0729,desktop,Linux,2026-01-09
D0730,mobile,iOS,2025-12-29
D0731,mobile,Android,2026-01-02
D0732,mobile,Android,2026-01-07
D0733,mobile,Windows,2025-11-06
D0734,desktop,Android,2025-12-28
D0735,mobile,Windows,2025-10-26
D0736,pos,Windows,2025-11-15
D0737,desktop,macOS,2026-01-23
D0738,tablet,Android,2025-11-05
D0739,desktop,iOS,2026-01-12
D0740,desktop,Android,2025-11-22
D0741,desktop,Android,2025-10-28
D0742,mobile,Windows,2025-10-14
D0743,mobile,iOS,2025-12-07
D0744,desktop,Windows,2025-11-26
D0745,mobile,Android,2025-12-03
D0746,mobile,POS,2025-10-08
D0747,tablet,POS,2025-11-04
D0748,mobile,iOS,2025-10-03
D0749,mobile,macOS,2025-11-08
D0750,desktop,Android,2026-01-22
