merchant_id,merchant_name,category,onboarding_date,kyc_status,merchant_age_days
M0107,Nath and Sons,restaurant,2025-10-31,VERIFIED,152
M0108,"Lala, Edwin and Sathe",fashion,2026-02-23,VERIFIED,37
M0109,"Sane, Andra and Choudhury",ecommerce,2025-11-11,VERIFIED,141
M0110,Dixit PLC,services,2024-09-07,VERIFIED,571
M0111,Pingle PLC,restaurant,2025-11-24,VERIFIED,128
M0112,"Divan, Sani and Datta",electronics,2024-09-27,VERIFIED,551
M0113,Morar LLC,fashion,2025-11-10,VERIFIED,142
M0114,Parmar and Sons,travel,2025-07-31,PENDING,244
M0115,"Krish, Chauhan and Pandya",electronics,2025-06-23,VERIFIED,282
M0116,"Ray, Dubey and Khalsa",healthcare,2025-11-24,VERIFIED,128
M0117,Goel Group,education,2025-07-29,VERIFIED,246
M0118,Gola Ltd,SaaS,2026-01-12,VERIFIED,79
M0119,Sabharwal-Kothari,grocery,2025-08-23,VERIFIED,221
M0120,Dutta-Chokshi,travel,2025-07-08,LIMITED,267
M0121,Barad-Singhal,travel,2026-02-22,VERIFIED,38
M0122,Iyengar Group,SaaS,2025-11-12,VERIFIED,140
M0123,Mody-Kari,ecommerce,2025-04-21,VERIFIED,345
M0124,Bajwa Ltd,grocery,2025-12-06,VERIFIED,116
M0125,Rastogi LLC,ecommerce,2025-03-13,VERIFIED,384
M0126,Boase-Mallick,restaurant,2025-02-16,VERIFIED,409
M0127,Upadhyay-Ratta,fashion,2025-04-22,VERIFIED,344
M0128,"Yadav, Narula and Bala",ecommerce,2024-12-17,VERIFIED,470
M0129,Lal and Sons,ecommerce,2026-01-17,VERIFIED,74
M0130,"Lanka, Barad and Chopra",travel,2024-10-12,PENDING,536
M0131,"Saraf, Pai and Murthy",electronics,2025-11-23,VERIFIED,129
M0132,Vaidya-D’Alia,services,2025-05-31,VERIFIED,305
M0133,Gupta-Kumar,travel,2024-01-02,VERIFIED,820
M0134,Sarin Inc,grocery,2025-08-26,VERIFIED,218
M0135,"Yohannan, Hegde and Patla",travel,2025-06-18,PENDING,287
M0136,Boase-Narayanan,ecommerce,2025-11-22,VERIFIED,130
M0137,"Murthy, Dash and Mital",services,2024-01-07,VERIFIED,815
M0138,"More, Rege and Narain",restaurant,2025-11-11,VERIFIED,141
M0139,Merchant-Datta,education,2025-01-23,VERIFIED,433
M0140,Salvi Ltd,ecommerce,2024-07-24,VERIFIED,616
M0141,Ghosh-Mitra,restaurant,2024-12-27,PENDING,460
M0142,Acharya-Modi,restaurant,2025-04-08,VERIFIED,358
M0143,Kade-Sani,services,2025-06-03,VERIFIED,302
M0144,"Nagy, Shroff and Sathe",travel,2025-12-19,PENDING,103
M0145,Kala-Vaidya,restaurant,2024-01-30,VERIFIED,792
M0146,Gara-Chad,fashion,2025-04-27,VERIFIED,339
M0147,Varma-Nayak,fashion,2025-06-17,VERIFIED,288
M0148,Keer Ltd,restaurant,2025-12-01,VERIFIED,121
M0149,Kar-Issac,grocery,2025-06-08,VERIFIED,297
M0150,Bakshi Inc,ecommerce,2025-06-30,VERIFIED,275
M0151,Soman PLC,healthcare,2024-01-02,VERIFIED,820
M0152,Shah Group,services,2025-06-18,VERIFIED,287
M0153,"Hayer, Rajagopalan and Talwar",ecommerce,2025-06-11,VERIFIED,294
M0154,Kohli-Divan,restaurant,2025-11-30,VERIFIED,122
M0155,"Ahluwalia, Chhabra and Sandal",ecommerce,2025-10-20,VERIFIED,163
M0156,Goda Ltd,SaaS,2025-02-25,VERIFIED,400
M0157,"Shetty, Bedi and Krish",fashion,2026-01-28,PENDING,63
M0158,Shan and Sons,SaaS,2024-10-14,VERIFIED,534
M0159,Wali-Nadig,education,2024-10-05,VERIFIED,543
M0160,Thaman-Sandhu,education,2025-11-02,VERIFIED,150
M0161,"Sehgal, Dutt and Soman",ecommerce,2025-04-07,VERIFIED,359
M0162,Lad-Kota,services,2024-07-11,VERIFIED,629
M0163,"Malhotra, Verma and Sundaram",electronics,2025-07-15,VERIFIED,260
M0164,"Khare, Maharaj and Sarraf",ecommerce,2025-08-17,LIMITED,227
M0165,Mangal and Sons,restaurant,2025-07-28,VERIFIED,247
M0166,Nayak-Nagarajan,grocery,2025-04-28,PENDING,338
M0167,"Buch, Devi and Dora",healthcare,2025-10-04,LIMITED,179
M0168,Rajagopal Ltd,healthcare,2025-08-31,VERIFIED,213
M0169,Kala Inc,fashion,2025-04-23,VERIFIED,343
M0170,Reddy-Narayanan,services,2025-09-12,VERIFIED,201
M0171,"Shukla, Sagar and Bhatia",fashion,2025-12-08,LIMITED,114
M0172,Salvi Group,restaurant,2026-02-02,VERIFIED,58
M0173,"Bahri, Rai and Sood",fashion,2025-06-14,VERIFIED,291
M0174,Pandey LLC,services,2024-08-05,PENDING,604
M0175,Saini-Yohannan,electronics,2025-03-26,VERIFIED,371
M0176,"Kannan, Sura and Kanda",ecommerce,2025-12-04,VERIFIED,118
M0177,Sarin-Sunder,grocery,2025-10-21,VERIFIED,162
M0178,Ramachandran LLC,services,2025-08-18,LIMITED,226
M0179,"Ravel, Gandhi and Sibal",services,2023-12-16,PENDING,837
M0180,Walla Inc,education,2023-11-18,VERIFIED,865
M0181,Bala-Chacko,services,2024-01-20,VERIFIED,802
M0182,"Sangha, Deshmukh and Shenoy",services,2025-05-24,VERIFIED,312
M0183,Bedi LLC,restaurant,2022-12-18,VERIFIED,1200
M0184,Narang-Kakar,fashion,2025-10-15,VERIFIED,168
M0185,Narain-Nazareth,education,2025-08-24,VERIFIED,220
M0186,Mall-Sama,SaaS,2024-11-09,VERIFIED,508
M0187,Bumb-Singhal,grocery,2025-04-22,VERIFIED,344
M0188,Zacharia Inc,ecommerce,2025-04-09,VERIFIED,357
M0189,Kapur-Biswas,education,2025-11-18,VERIFIED,134
M0190,"Baria, Balasubramanian and Kota",fashion,2025-07-01,VERIFIED,274
M0191,Bahri PLC,services,2025-10-13,VERIFIED,170
M0192,Khare and Sons,fashion,2025-12-25,VERIFIED,97
M0193,Contractor-Kamdar,ecommerce,2025-09-28,PENDING,185
M0194,Kunda-Pillay,healthcare,2025-04-22,VERIFIED,344
M0195,Contractor and Sons,ecommerce,2024-12-31,VERIFIED,456
M0196,Chokshi-Bal,electronics,2026-02-03,LIMITED,57
M0197,Prashad-Ranganathan,travel,2025-06-22,VERIFIED,283
M0198,"Issac, Borra and Kibe",healthcare,2025-07-10,VERIFIED,265
M0199,Mitra Ltd,electronics,2025-05-04,VERIFIED,332
M0200,"Dara, Barman and Palan",fashion,2025-12-03,PENDING,119
M0201,"Sangha, Prabhakar and Biswas",education,2025-12-01,VERIFIED,121
M0202,"Om, Arora and Salvi",services,2024-07-26,PENDING,614
M0203,Cherian-Sant,restaurant,2025-11-01,VERIFIED,151
M0204,Sharaf-Dua,ecommerce,2025-09-01,VERIFIED,212
M0205,Goda-Vig,ecommerce,2025-08-16,VERIFIED,228
M0206,"Madan, Yohannan and Sule",electronics,2025-10-11,VERIFIED,172
M0207,Sarin-Loyal,ecommerce,2025-03-05,VERIFIED,392
M0208,Korpal-Chadha,SaaS,2025-03-27,VERIFIED,370
M0209,Seshadri-Kohli,ecommerce,2025-07-18,LIMITED,257
M0210,Raghavan-Nayar,restaurant,2025-10-03,VERIFIED,180
M0211,Talwar LLC,SaaS,2025-08-01,VERIFIED,243
M0212,Sura and Sons,travel,2025-06-06,VERIFIED,299
M0213,Kuruvilla-Oak,electronics,2025-10-21,VERIFIED,162
M0214,Majumdar-Anne,healthcare,2025-02-14,VERIFIED,411
M0215,"Halder, Chada and Khurana",SaaS,2024-10-16,VERIFIED,532
M0216,"Ray, Suresh and Khosla",education,2024-05-20,VERIFIED,681
M0217,"Soni, Swaminathan and Sem",ecommerce,2024-06-15,VERIFIED,655
M0218,Chander LLC,ecommerce,2025-08-17,PENDING,227
M0219,Ravel Ltd,services,2025-05-27,VERIFIED,309
M0220,Mohan Ltd,grocery,2025-07-21,VERIFIED,254
M0221,"Pillay, Solanki and Wali",fashion,2025-07-22,VERIFIED,253
M0222,Sandal-Narayanan,restaurant,2025-08-02,VERIFIED,242
M0223,Setty-Madan,SaaS,2025-06-19,LIMITED,286
M0224,Krishnamurthy-Kashyap,services,2024-08-21,PENDING,588
M0225,Hans LLC,fashion,2025-04-15,PENDING,351
M0226,Wason Ltd,services,2025-12-07,VERIFIED,115
M0227,Handa and Sons,ecommerce,2024-10-31,VERIFIED,517
M0228,"Sule, Malhotra and Vohra",restaurant,2025-05-07,VERIFIED,329
M0229,"Mandal, Chaudhry and Hari",travel,2025-03-03,VERIFIED,394
M0230,Karan-Patel,ecommerce,2025-04-19,VERIFIED,347
M0231,Mittal Inc,ecommerce,2025-04-09,VERIFIED,357
M0232,"Walla, Date and Mahal",grocery,2025-03-29,LIMITED,368
M0233,Bhagat PLC,services,2026-01-24,VERIFIED,67
M0234,Date-Swaminathan,travel,2025-03-06,VERIFIED,391
M0235,Arora PLC,services,2025-10-16,VERIFIED,167
M0236,Singh-Srinivas,healthcare,2025-09-13,VERIFIED,200
M0237,Oak-Gour,restaurant,2025-06-20,VERIFIED,285
M0238,Krishnan Group,education,2024-03-14,VERIFIED,748
M0239,Bhattacharyya Group,ecommerce,2025-11-21,PENDING,131
M0240,Borah-Bera,ecommerce,2025-06-27,VERIFIED,278
M0241,Dixit PLC,healthcare,2025-08-06,VERIFIED,238
M0242,Chada-Kothari,education,2024-11-04,VERIFIED,513
M0243,Saha PLC,electronics,2025-08-11,VERIFIED,233
M0244,"Kara, Virk and Rai",restaurant,2025-05-04,VERIFIED,332
M0245,Savant-Mishra,travel,2025-11-21,VERIFIED,131
M0246,"Sanghvi, Mody and Bhasin",healthcare,2024-09-10,VERIFIED,568
M0247,"Chaudhary, Johal and Kakar",travel,2026-01-01,VERIFIED,90
M0248,Bumb-Dugar,grocery,2025-03-09,VERIFIED,388
M0249,Ghose PLC,grocery,2025-05-03,VERIFIED,333
M0250,Dugar Inc,grocery,2025-03-31,VERIFIED,366
M0251,Seshadri-Singhal,SaaS,2025-12-31,VERIFIED,91
M0252,Bali-Kata,healthcare,2025-08-14,VERIFIED,230
M0253,Mandal-Setty,restaurant,2024-11-20,VERIFIED,497
M0254,Kaur LLC,fashion,2024-01-03,VERIFIED,819
M0255,"Hora, Sandal and Contractor",electronics,2025-07-11,VERIFIED,264
M0256,"Kar, Dixit and Lata",education,2024-12-20,VERIFIED,467
M0257,Bora Inc,healthcare,2025-05-24,VERIFIED,312
M0258,Mohanty PLC,ecommerce,2025-07-01,VERIFIED,274
M0259,"Mani, Sarna and Dash",ecommerce,2025-09-02,VERIFIED,211
M0260,Modi-Rau,travel,2025-06-19,PENDING,286
M0261,Tella-Zacharia,ecommerce,2025-01-15,VERIFIED,441
M0262,Sarma-Buch,healthcare,2024-12-23,VERIFIED,464
M0263,"Baral, Sankaran and Naidu",fashion,2025-12-15,VERIFIED,107
M0264,"Krishna, Bal and Chand",ecommerce,2025-09-15,VERIFIED,198
M0265,Bail Ltd,services,2025-11-26,VERIFIED,126
M0266,Baria-Gill,electronics,2025-06-09,VERIFIED,296
M0267,Venkataraman-Sathe,fashion,2025-08-20,VERIFIED,224
M0268,Golla-Sarin,ecommerce,2025-04-08,VERIFIED,358
M0269,"Swamy, Chand and Singhal",ecommerce,2025-03-22,VERIFIED,375
M0270,Rege-Nath,ecommerce,2026-02-18,VERIFIED,42
M0271,Cheema-Dyal,ecommerce,2025-06-21,VERIFIED,284
M0272,Sabharwal-Tandon,electronics,2024-08-14,VERIFIED,595
M0273,Rattan-Bansal,ecommerce,2025-09-15,VERIFIED,198
M0274,Chakrabarti-Murty,travel,2025-09-20,VERIFIED,193
M0275,Naik-D’Alia,SaaS,2024-10-17,VERIFIED,531
M0276,Varkey-Agarwal,grocery,2024-12-09,VERIFIED,478
M0277,"Shere, Sachdev and Bhagat",fashion,2025-11-15,VERIFIED,137
M0278,Vasa LLC,restaurant,2025-01-08,VERIFIED,448
M0279,"Tara, Sathe and Behl",healthcare,2025-10-23,VERIFIED,160
M0280,Loke PLC,healthcare,2025-09-21,VERIFIED,192
M0281,Mani Group,ecommerce,2025-11-15,VERIFIED,137
M0282,"Sundaram, Dara and Balakrishnan",electronics,2025-12-16,VERIFIED,106
M0283,"Khatri, Dutt and Mukhopadhyay",electronics,2025-05-29,VERIFIED,307
M0284,"Atwal, Reddy and Chander",fashion,2025-12-28,VERIFIED,94
M0285,Comar Group,travel,2025-05-20,VERIFIED,316
M0286,Dube Group,grocery,2025-05-27,PENDING,309
M0287,"Manne, Upadhyay and Mahajan",ecommerce,2025-07-19,VERIFIED,256
M0288,Subramanian-Sodhi,grocery,2025-09-09,VERIFIED,204
M0289,Shan PLC,restaurant,2025-10-06,VERIFIED,177
M0290,Rajagopal and Sons,ecommerce,2025-11-28,VERIFIED,124
M0291,"Trivedi, Deshpande and Boase",healthcare,2024-05-17,VERIFIED,684
M0292,Sachdeva-Oak,ecommerce,2025-07-27,VERIFIED,248
M0293,"Loke, Agate and Mandal",services,2025-08-02,VERIFIED,242
M0294,"Misra, Suri and Dixit",ecommerce,2025-11-10,PENDING,142
M0295,Yohannan-Sule,healthcare,2024-06-30,VERIFIED,640
M0296,Natarajan-Purohit,services,2025-09-28,VERIFIED,185
M0297,Nagy-Gulati,services,2025-04-30,LIMITED,336
M0298,"Khare, Rajagopal and Kaur",healthcare,2025-03-17,VERIFIED,380
M0299,Bassi-Nadkarni,education,2025-05-28,VERIFIED,308
M0300,"Solanki, Raj and Raju",SaaS,2025-12-30,VERIFIED,92
M0301,"Doshi, Tandon and Bansal",education,2025-01-20,VERIFIED,436
M0302,Thakkar PLC,ecommerce,2025-09-30,VERIFIED,183
M0303,Chaudhry-Sarraf,restaurant,2024-12-12,VERIFIED,475
M0304,Vora Group,restaurant,2025-07-03,VERIFIED,272
M0305,Dhawan Group,healthcare,2025-03-02,VERIFIED,395
M0306,"Dubey, Borde and Singh",restaurant,2024-07-27,VERIFIED,613
M0307,Nigam-Rao,grocery,2025-01-30,VERIFIED,426
M0308,"Buch, Narasimhan and Walla",travel,2025-02-23,VERIFIED,402
M0309,Nadig-Sura,fashion,2025-01-07,LIMITED,449
M0310,"Banik, Biswas and Keer",ecommerce,2025-10-27,VERIFIED,156
M0311,"Mani, Karan and Chana",restaurant,2024-11-29,VERIFIED,488
M0312,Chaudhari-Chaudhry,grocery,2025-08-09,VERIFIED,235
M0313,Ganesan-Mistry,electronics,2025-08-04,VERIFIED,240
M0314,Batra LLC,grocery,2025-06-04,VERIFIED,301
M0315,Memon LLC,grocery,2025-08-24,VERIFIED,220
M0316,Sankar-Dhingra,fashion,2025-11-19,VERIFIED,133
M0317,Wali Group,grocery,2025-06-19,PENDING,286
M0318,"Gole, Garde and Gill",SaaS,2025-08-03,VERIFIED,241
M0319,Raja PLC,fashion,2025-08-09,VERIFIED,235
M0320,"Khosla, Tank and Dhar",services,2025-07-09,VERIFIED,266
M0321,Shenoy Ltd,services,2026-02-14,LIMITED,46
M0322,Sharaf-Kumer,restaurant,2025-08-08,VERIFIED,236
M0323,"Andra, Shroff and Mani",fashion,2024-06-08,VERIFIED,662
M0324,"Dugar, Borah and Sathe",restaurant,2024-07-11,VERIFIED,629
M0325,Mistry-Samra,healthcare,2025-06-12,VERIFIED,293
M0326,"Krishna, Shan and Mittal",SaaS,2025-06-19,VERIFIED,286
M0327,Rajagopalan Group,healthcare,2026-02-23,LIMITED,37
M0328,Khalsa Group,restaurant,2025-09-22,LIMITED,191
M0329,"Parmer, Merchant and Merchant",travel,2025-01-10,VERIFIED,446
M0330,Randhawa LLC,fashion,2025-08-28,VERIFIED,216
M0331,Bawa PLC,education,2024-10-03,VERIFIED,545
M0332,"Taneja, Mangat and Karpe",electronics,2024-10-24,PENDING,524
M0333,"Pandey, Kanda and Gupta",SaaS,2025-09-25,VERIFIED,188
M0334,"Krishna, Devan and Chatterjee",healthcare,2025-05-28,VERIFIED,308
M0335,"Baral, More and Sastry",ecommerce,2024-05-07,VERIFIED,694
M0336,Patla Ltd,travel,2026-01-01,VERIFIED,90
M0337,Chana LLC,ecommerce,2025-08-25,VERIFIED,219
M0338,Sagar-Gill,education,2026-01-08,LIMITED,83
M0339,Deo PLC,ecommerce,2025-11-04,LIMITED,148
M0340,Wali-Thaker,services,2023-12-31,PENDING,822
M0341,Gala-Kurian,ecommerce,2025-08-25,VERIFIED,219
M0342,Merchant-Nigam,services,2026-02-04,VERIFIED,56
M0343,Sidhu Inc,healthcare,2025-11-20,VERIFIED,132
M0344,Kara Ltd,travel,2026-01-15,VERIFIED,76
M0345,"Ranganathan, Pau and Chana",education,2025-05-20,VERIFIED,316
M0346,Atwal-Lalla,education,2025-03-20,VERIFIED,377
M0347,"Dasgupta, Sha and Pillay",services,2024-11-25,VERIFIED,492
M0348,"Lala, Raj and Prabhu",fashion,2025-01-25,VERIFIED,431
M0349,Kaur Group,travel,2025-12-28,VERIFIED,94
M0350,Narang PLC,ecommerce,2025-04-02,VERIFIED,364
M0351,Bhatnagar Ltd,travel,2025-07-17,VERIFIED,258
M0352,Mittal-Rege,electronics,2024-10-10,VERIFIED,538
M0353,Dey Inc,restaurant,2024-12-24,VERIFIED,463
M0354,Modi Group,travel,2023-10-25,VERIFIED,889
M0355,Chatterjee and Sons,restaurant,2025-11-12,VERIFIED,140
M0356,"Deshmukh, Rama and Setty",restaurant,2025-11-27,VERIFIED,125
M0357,Zachariah-Saini,education,2025-09-13,VERIFIED,200
M0358,"Dubey, Sachdeva and Chaudhary",education,2025-07-10,VERIFIED,265
M0359,Reddy-Mammen,restaurant,2025-10-11,VERIFIED,172
M0360,Prabhakar and Sons,travel,2025-11-06,VERIFIED,146
M0361,Saxena-Keer,services,2025-04-18,VERIFIED,348
M0362,Chaudhary-Pillai,ecommerce,2025-09-14,VERIFIED,199
M0363,"Parmer, Bhat and Rao",ecommerce,2025-10-16,VERIFIED,167
M0364,Gupta-Das,ecommerce,2025-12-28,VERIFIED,94
M0365,Chand-Kala,SaaS,2026-02-21,VERIFIED,39
M0366,"Bail, Bedi and Nath",grocery,2024-06-28,VERIFIED,642
M0367,Dass PLC,education,2024-07-10,VERIFIED,630
M0368,Biswas PLC,SaaS,2024-12-15,VERIFIED,472
M0369,Kalita and Sons,fashion,2025-02-22,VERIFIED,403
M0370,Divan-Agate,services,2025-09-27,VERIFIED,186
M0371,Dhillon-De,education,2025-02-11,VERIFIED,414
M0372,"Krishna, Ghosh and Choudhary",fashion,2025-12-04,VERIFIED,118
M0373,"Bal, Deep and Aurora",grocery,2025-06-02,VERIFIED,303
M0374,Khanna-Naik,fashion,2025-10-26,VERIFIED,157
M0375,Ghosh LLC,ecommerce,2025-02-10,PENDING,415
M0376,Date Ltd,ecommerce,2024-04-07,VERIFIED,724
M0377,Vora-Comar,services,2025-11-21,VERIFIED,131
M0378,"Bhatt, Soni and Sen",grocery,2025-09-20,PENDING,193
M0379,Varghese-Chopra,grocery,2025-06-06,VERIFIED,299
M0380,Thakur-Kant,education,2026-01-29,VERIFIED,62
M0381,"Bassi, Verma and Mitra",restaurant,2026-01-12,VERIFIED,79
M0382,Balasubramanian-Bhat,services,2024-04-20,VERIFIED,711
M0383,Ratti-Sandhu,education,2025-04-16,VERIFIED,350
M0384,"Chokshi, Swaminathan and Sawhney",restaurant,2025-10-04,VERIFIED,179
M0385,Buch LLC,grocery,2025-06-27,LIMITED,278
M0386,"Divan, Bhatti and Date",services,2025-09-13,VERIFIED,200
M0387,Nair-Raj,SaaS,2025-05-31,VERIFIED,305
M0388,"Wali, Menon and Setty",services,2025-09-07,VERIFIED,206
M0389,"Sani, Chaudhary and Contractor",ecommerce,2025-07-12,VERIFIED,263
M0390,"Kale, Sani and Seth",healthcare,2025-01-17,VERIFIED,439
M0391,Sachdev LLC,travel,2025-02-04,VERIFIED,421
M0392,Rastogi-Sagar,ecommerce,2024-05-15,VERIFIED,686
M0393,"Chandran, Munshi and Sane",travel,2025-03-31,VERIFIED,366
M0394,Kumer-Prasad,SaaS,2025-06-15,VERIFIED,290
M0395,Som Inc,ecommerce,2024-03-12,VERIFIED,750
M0396,Chada Inc,restaurant,2025-07-31,VERIFIED,244
M0397,Char-Pradhan,healthcare,2026-02-17,VERIFIED,43
